,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita
132,United States,USA,1964,Summer,191889000.0,685800000048.465,3573.941185,36.0,26.0,28.0,90.0,73.0,51.0,47.0,171.0,4.690211528539937e-07,8.91140190422588e-07,1.3123359579125077e-10,2.493438320033764e-10,368.0,188.0,1020686.1702127659,521437.5
133,United States,USA,1964,Winter,191889000.0,685800000048.465,3573.941185,1.0,2.0,4.0,7.0,74.0,53.0,51.0,178.0,3.6479422999755066e-08,9.276196134223431e-07,1.0207057450430614e-11,2.5955088945380704e-10,379.0,11.0,17444454.545454547,506303.43007915566
171,Uzbekistan,UZB,1964,Summer,9758147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
134,"Venezuela, RB",VEN,1964,Summer,9371333.0,8099318181.545157,864.2653272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0670840530370653e-07,0.0,1.2346718298813934e-10,1.0,0.0,0.0,9371333.0
284,Afghanistan,AFG,1968,Summer,10247780.0,1373333366.729374,134.0127683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Argentina,ARG,1968,Summer,23112971.0,26436857251.861588,1143.810428,0.0,0.0,2.0,2.0,0.0,2.0,3.0,5.0,8.653149783297007e-08,2.1632874458242518e-07,7.565195745266459e-11,1.8912989363166146e-10,7.0,2.0,11556485.5,3301853.0
271,Armenia,ARM,1968,Summer,2416461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
197,Australia,AUS,1968,Summer,12009000.0,32712509803.356,2723.999484,5.0,7.0,5.0,17.0,19.0,17.0,21.0,57.0,1.4156049629444583e-06,4.746440169872596e-06,5.196788660421267e-10,1.7424526684941897e-09,112.0,34.0,353205.8823529412,107223.21428571429
198,Austria,AUT,1968,Summer,7415403.0,12440625312.551785,1677.673528,0.0,2.0,2.0,4.0,6.0,10.0,8.0,24.0,5.394177497837946e-07,3.236506498702768e-06,3.215272463807956e-10,1.9291634782847738e-09,46.0,6.0,1235900.5,161204.41304347827
199,Austria,AUT,1968,Winter,7415403.0,12440625312.551785,1677.673528,3.0,4.0,4.0,11.0,9.0,14.0,12.0,35.0,1.4833988119054351e-06,4.719905310608203e-06,8.841999275471879e-10,2.8133634058319618e-09,67.0,21.0,353114.4285714286,110677.65671641791
272,Azerbaijan,AZE,1968,Summer,4948500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
