,Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medal_score_per_GDP,Medal_score_per_capita
416,Channel Islands,CHI,Summer,1988,0.0,137765.0,0.0,0,1,0,1,0,2,0,2,0.0,1.4517475411026022e-05
430,Hungary,HUN,Summer,1988,0.0,10596487.0,0.0,11,6,6,23,33,12,6,51,0.0,4.812915827670057e-06
452,Poland,POL,Summer,1988,0.0,37824487.0,0.0,2,5,9,16,6,10,9,25,0.0,6.609474967895797e-07
488,Estonia,EST,Summer,1992,0.0,1533091.0,0.0,1,0,1,2,3,0,1,4,0.0,2.6091080046781307e-06
502,Israel,ISR,Summer,1992,0.0,5123000.0,0.0,0,1,1,2,0,2,1,3,0.0,5.855943782939684e-07
517,Lithuania,LTU,Summer,1992,0.0,3700114.0,0.0,1,0,1,2,3,0,1,4,0.0,1.081047773122666e-06
533,"Korea, Dem. People's Rep.",PRK,Summer,1992,0.0,21439991.0,0.0,4,0,5,9,12,0,5,17,0.0,7.929107806062045e-07
534,"Korea, Dem. People's Rep.",PRK,Summer,1992,0.0,21439991.0,0.0,4,0,5,9,12,0,5,17,0.0,7.929107806062045e-07
535,"Korea, Dem. People's Rep.",PRK,Winter,1992,0.0,21439991.0,0.0,0,0,1,1,0,0,1,1,0.0,4.664181062389439e-08
536,"Korea, Dem. People's Rep.",PRK,Winter,1992,0.0,21439991.0,0.0,0,0,1,1,0,0,1,1,0.0,4.664181062389439e-08
608,"Korea, Dem. People's Rep.",PRK,Summer,1996,0.0,22614347.0,0.0,2,1,2,5,6,2,2,10,0.0,4.421971591751024e-07
684,"Korea, Dem. People's Rep.",PRK,Summer,2000,0.0,23367059.0,0.0,0,1,3,4,0,2,3,5,0.0,2.1397643580221199e-07
754,"Korea, Dem. People's Rep.",PRK,Summer,2004,0.0,23948930.0,0.0,0,4,1,5,0,8,1,9,0.0,3.7579967038193355e-07
796,Channel Islands,CHI,Summer,2008,0.0,154475.0,0.0,0,1,0,1,0,2,0,2,0.0,1.2947078815342289e-05
832,"Korea, Dem. People's Rep.",PRK,Summer,2008,0.0,24469047.0,0.0,2,2,2,6,6,4,2,12,0.0,4.904155033091399e-07
911,"Korea, Dem. People's Rep.",PRK,Summer,2012,0.0,24887770.0,0.0,4,0,3,7,12,0,3,15,0.0,6.027056662770509e-07
991,"Korea, Dem. People's Rep.",PRK,Summer,2016,0.0,25389611.0,0.0,2,3,2,7,6,6,2,14,0.0,5.514066363600451e-07
1007,"Venezuela, RB",VEN,Summer,2016,0.0,30741464.0,0.0,0,2,1,3,0,4,1,5,0.0,1.626467757033302e-07
1088,Turkmenistan,TKM,Summer,2020,0.0,6250438.0,0.0,0,1,0,1,0,2,0,2,0.0,3.1997757597147593e-07
1095,"Venezuela, RB",VEN,Summer,2020,0.0,28490453.0,0.0,1,3,0,4,3,6,0,9,0.0,3.1589529306536473e-07
