,Unnamed: 0,Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medal_score_per_GDP,Medal_score_per_capita
1035,1035,Austria,AUT,Summer,2020,48809226.88,8916864.0,5.473810846503883,1,1,5,7,3,2,5,10,2.0487929515018778e-07,1.1214705080171684e-06
1038,1038,Belarus,BLR,Summer,2020,6542797.491,9379952.0,0.6975299544176772,1,3,3,7,3,6,3,12,1.8340778568351996e-06,1.2793242438767275e-06
1077,1077,Norway,NOR,Summer,2020,67329677.79,5379475.0,12.516031358078624,4,2,2,8,12,4,2,18,2.67341246695724e-07,3.3460514269515147e-06
1056,1056,Georgia,GEO,Summer,2020,4255742.993,3722716.0,1.143182287609369,2,5,1,8,6,10,1,17,3.994602124226537e-06,4.566558394462538e-06
1067,1067,Kazakhstan,KAZ,Summer,2020,9121637.138,18755666.0,0.4863403484579007,0,0,8,8,0,0,8,8,8.770355451515002e-07,4.2653777263894556e-07
1085,1085,Sweden,SWE,Summer,2020,52837903.98,10353442.0,5.103414302219494,3,6,0,9,9,12,0,21,3.974419577269537e-07,2.028310971365851e-06
1083,1083,Serbia,SRB,Summer,2020,7733802.869,6899126.0,1.1209829866855598,3,1,5,9,9,2,5,16,2.068839905932182e-06,2.3191343367261304e-06
1064,1064,Jamaica,JAM,Summer,2020,4897265.897,2820436.0,1.7363506553596677,4,1,4,9,12,2,4,18,3.675520255297259e-06,6.381992004073129e-06
1068,1068,Kenya,KEN,Summer,2020,1936424.589,51985780.0,0.0372491206056733,4,4,2,10,12,8,2,22,1.1361144722584392e-05,4.23192649990055e-07
1046,1046,Czechia,CZE,Summer,2020,22992879.38,10697858.0,2.149297493012152,4,4,3,11,12,8,3,23,1.00030968805091e-06,2.149963104763589e-06
1090,1090,Turkiye,TUR,Summer,2020,8561070.948,84135428.0,0.1017534604804054,2,2,9,13,6,4,9,19,2.219348503873653e-06,2.258263902811548e-07
1079,1079,Poland,POL,Summer,2020,15816989.4,37899070.0,0.4173450535857476,4,5,5,14,12,10,5,27,1.7070252319951609e-06,7.124185369192436e-07
1045,1045,Cuba,CUB,Summer,2020,9499590.202,11300698.0,0.8406197742829691,7,3,5,15,21,6,5,32,3.368566361237653e-06,2.8316834942407983e-06
1050,1050,Spain,ESP,Summer,2020,26959675.44,47365655.0,0.5691819407965539,3,8,6,17,9,16,6,31,1.1498654747900038e-06,6.544826625959252e-07
1092,1092,Ukraine,UKR,Summer,2020,3751740.723,44132049.0,0.0850117048270294,1,6,12,19,3,12,12,27,7.196659362539857e-06,6.118002814689161e-07
1059,1059,Hungary,HUN,Summer,2020,16120989.05,9750149.0,1.6534095068701002,6,7,7,20,18,14,7,39,2.4192064071900104e-06,3.999938872729022e-06
1078,1078,New Zealand,NZL,Summer,2020,41596505.5,5090200.0,8.17188037798122,7,6,7,20,21,12,7,40,9.61619239866195e-07,7.858237397351773e-06
