Year,Total,Unique
1896,43,10
1900,188,27
1904,402,20
1908,113,26
1912,110,21
1920,164,30
1924,143,27
1928,128,23
1932,133,23
1936,151,30
1948,154,25
1952,158,26
1956,147,22
1960,150,22
1964,188,26
1968,187,25
1972,205,29
1976,198,26
1980,203,26
1984,228,30
1988,270,34
1992,286,36
1996,273,36
2000,302,39
2004,303,39
2008,317,42
2012,302,39
2016,306,41
2020,336,49
