,Unnamed: 0,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita,Y_Score/Population,Y_Score/GDP,Population to Gold Medal,Population to Silver Medal,Population to Bronze Medal,Population to Weight Score,GDP to Gold Medal,GDP to Silver Medal,GDP to Bronze Medal,GDP to Weight Score
0,0,Australia,AUS,1960,Summer,0.007258675392087066,0.0008646631105346393,0.017043372995742778,0.0963855421686747,0.13114754098360656,0.15789473684210525,0.12138728323699421,0.011315417256011316,0.013422818791946308,0.01147227533460803,0.011506849315068492,0.02425779115021396,0.02424272274578601,0.17777141158328544,0.1305394770025932,0.011734028683181224,0.1125,0.0002028074920624235,0.0009689766426585566,0.038048174091654646,0.17607775510217452,0.0009157372786506602,0.0009596031323936716,0.0012794708431915621,0.0002028074920624235,0.0001673795541556133,0.0004441393876086132,0.00044634547774830214,0.00010849188201637522
1,1,Austria,AUT,1960,Summer,0.004970378447778239,0.0002942486422278363,0.008417310466974522,0.012048192771084338,0.01639344262295082,0.0,0.005780346820809248,0.0014144271570014145,0.0016778523489932886,0.0,0.000547945205479452,0.0032069706537402576,0.003191577161113908,0.045584813309274184,0.0329746508810294,0.0010430247718383311,0.01,0.0013221713539542884,0.0062885552525735865,0.006023740506932771,0.05399701176877777,0.005024051869172204,0.005264715135404138,0.0,0.0013221713539542884,0.0004744714220271937,0.0012590035137805898,0.0,0.0004060775834412896
2,2,Austria,AUT,1960,Winter,0.004970378447778239,0.0002942486422278363,0.008417310466974522,0.012048192771084338,0.03278688524590164,0.07894736842105263,0.02890173410404624,0.002828854314002829,0.0050335570469798654,0.005736137667304015,0.003835616438356164,0.00964086467280733,0.01284256722782558,0.1368197950272856,0.13398328462773687,0.0036505867014341585,0.022500000000000003,0.0006570739989731553,0.0020742119890834665,0.012055504369873526,0.10801721203976532,0.005024051869172204,0.002632357567702069,0.0017549050451347128,0.0006570739989731553,0.0004744714220271937,0.0006295017568902949,0.0003163142813514624,0.00019144454061575535
3,3,Belgium,BEL,1960,Summer,0.006462831678489753,0.0005347999256796317,0.011751524912358991,0.0,0.03278688524590164,0.05263157894736842,0.017341040462427744,0.0,0.003355704697986577,0.0038240917782026767,0.001643835616438356,0.004943666896658539,0.004928300223863411,0.05155824911132973,0.03738354885545027,0.001303780964797914,0.012499999999999999,0.0014317135797622955,0.0068091352901548325,0.005564814419340711,0.036633174720531986,0.0,0.0034189602980597405,0.0034189602980597405,0.0014317135797622955,0.0,0.0011132302712579482,0.0008390698581315119,0.0006094176233762704
4,4,Brazil,BRA,1960,Summer,0.05177540126572946,0.000789867499484419,0.001492586767659779,0.0,0.0,0.05263157894736842,0.005780346820809248,0.0,0.0,0.0038240917782026767,0.000547945205479452,0.0003001998573336182,0.00028476147539373644,0.01762639056516261,0.012338983655460784,0.0002607561929595828,0.0025,0.03448177400121048,0.16387369710045852,0.0002246083495113331,0.008341553864826972,0.0,0.0,0.02730110965013844,0.03448177400121048,0.0,0.0,0.001225670325090917,0.0027490474972868125
5,5,Canada,CAN,1960,Summer,0.012667975196536396,0.0019024586472991725,0.021466962900484787,0.0,0.01639344262295082,0.0,0.0,0.0,0.0016778523489932886,0.0,0.0,0.0006229765965803561,0.0006075431992874465,0.0036837010231055446,0.0020481062246192182,0.0002607561929595828,0.0025,0.008442774365732538,0.040127960615484376,0.0009414042183361887,0.003497557790618509,0.0,0.013378806076637663,0.0,0.008442774365732538,0.0,0.007726955173662268,0.0,0.006563210513149371
6,6,Canada,CAN,1960,Winter,0.012667975196536396,0.0019024586472991725,0.021466962900484787,0.024096385542168676,0.01639344262295082,0.02631578947368421,0.017341040462427744,0.002828854314002829,0.003355704697986577,0.0019120458891013384,0.002191780821917808,0.0025218354537012632,0.0031393941075971627,0.014832836741616787,0.013020105927921733,0.002607561929595828,0.02,0.0018699316932676924,0.007269025858819493,0.004264400728540791,0.01582016981551752,0.006383613732926516,0.013378806076637663,0.013378806076637663,0.0018699316932676924,0.0014560004674565351,0.007726955173662268,0.0058240018698261405,0.0014404557234255877
7,7,Finland,FIN,1960,Summer,0.0031151108607292474,0.0002292635240393878,0.010821553777030353,0.012048192771084338,0.01639344262295082,0.07894736842105263,0.023121387283236993,0.0014144271570014145,0.0016778523489932886,0.005736137667304015,0.002191780821917808,0.01278541458994906,0.012770169017404177,0.1438878181623667,0.10553053552402537,0.0018252933507170795,0.0175,0.0005145239220089471,0.002450353797625877,0.015346415791918231,0.10905236272260733,0.0031577989107188687,0.0033090645066456213,0.0011030215022152072,0.0005145239220089471,0.00037597486810500016,0.0009976442374863609,0.0002506499120700001,0.0001894076264003655
8,8,Finland,FIN,1960,Winter,0.0031151108607292474,0.0002292635240393878,0.010821553777030353,0.024096385542168676,0.04918032786885246,0.07894736842105263,0.04046242774566474,0.004243281471004243,0.006711409395973154,0.01147227533460803,0.006575342465753424,0.02046264915739447,0.03324311068971483,0.2302401155896257,0.27549122228439626,0.00573663624511082,0.034999999999999996,0.00027066852560104875,0.0008308015539601355,0.02878155004635367,0.20449347004432233,0.0015788994553594343,0.0011030215022152072,0.0011030215022152072,0.00027066852560104875,0.00018798743405250008,0.00033254807916212033,0.0002506499120700001,9.019609971563146e-05
9,9,France,FRA,1960,Summer,0.03303596021111112,0.0029358715578001564,0.012344864798445898,0.0,0.03278688524590164,0.07894736842105263,0.023121387283236993,0.0,0.003355704697986577,0.005736137667304015,0.002191780821917808,0.0012050072984480752,0.0011895828894657315,0.012050080216232398,0.008223197662803033,0.0015645371577574967,0.015000000000000001,0.006281252752140848,0.02985571176773467,0.0012677069894652658,0.007989511669352434,0.0,0.017424421258427813,0.011616280838951875,0.006281252752140848,0.0,0.0059415845283190116,0.002985548522451107,0.0028708471436906602
