Country_Name,Country_Code,Year,GDP,Gold,Silver,Bronze,Total_Medals,Season
"Korea, Rep.",KOR,1994,10385.33617,4,1,1,6,Winter
Norway,NOR,1994,29315.84191,10,11,5,26,Winter
Russian Federation,RUS,1994,2662.104004,11,8,4,23,Winter
Sweden,SWE,1994,26083.61439,2,1,0,3,Winter
Ukraine,UKR,1994,1011.97937,1,0,1,2,Winter
United States,USA,1994,27694.85342,6,5,2,13,Winter
Uzbekistan,UZB,1994,576.4471105,1,0,0,1,Winter
Australia,AUS,1998,21478.38516,0,0,1,1,Winter
Austria,AUT,1998,27361.87511,3,5,9,17,Winter
Belgium,BEL,1998,25338.44329,0,0,1,1,Winter
Belarus,BLR,1998,1511.325316,0,0,2,2,Winter
Canada,CAN,1998,21024.58507,6,5,4,15,Winter
China,CHN,1998,828.5804793,0,6,2,8,Winter
Czechia,CZE,1998,6489.703619,1,1,1,3,Winter
Finland,FIN,1998,26009.26949,2,4,6,12,Winter
France,FRA,1998,24971.57449,2,1,5,8,Winter
United Kingdom,GBR,1998,28297.866,0,0,1,1,Winter
Italy,ITA,1998,22318.1373,2,6,2,10,Winter
Japan,JPN,1998,32423.75561,5,1,4,10,Winter
Kazakhstan,KAZ,1998,1468.669291,0,0,2,2,Winter
"Korea, Rep.",KOR,1998,8281.699982,3,1,2,6,Winter
Norway,NOR,1998,34788.35985,10,10,5,25,Winter
Russian Federation,RUS,1998,1834.861816,9,6,3,18,Winter
Sweden,SWE,1998,30596.5272,0,2,1,3,Winter
Ukraine,UKR,1998,835.2509766,0,1,0,1,Winter
United States,USA,1998,32853.67695,6,3,4,13,Winter
Australia,AUS,2002,20291.17855,2,0,0,2,Winter
Austria,AUT,2002,26527.59309,3,3,10,16,Winter
Belarus,BLR,2002,1479.314583,0,0,1,1,Winter
Canada,CAN,2002,24255.33858,7,3,7,17,Winter
China,CHN,2002,1148.50829,2,2,4,8,Winter
Czechia,CZE,2002,8060.868703,1,2,0,3,Winter
Estonia,EST,2002,5341.628947,1,1,1,3,Winter
Finland,FIN,2002,26997.75299,4,2,1,7,Winter
France,FRA,2002,24288.27002,4,5,2,11,Winter
United Kingdom,GBR,2002,30079.66004,1,0,0,1,Winter
Italy,ITA,2002,22376.2979,4,4,5,13,Winter
Japan,JPN,2002,32820.79364,0,1,1,2,Winter
"Korea, Rep.",KOR,2002,13165.06574,2,2,0,4,Winter
Norway,NOR,2002,43084.47247,13,5,7,25,Winter
Poland,POL,2002,5207.171421,0,1,1,2,Winter
Russian Federation,RUS,2002,2377.529541,5,4,4,13,Winter
Sweden,SWE,2002,29899.19525,0,2,5,7,Winter
United States,USA,2002,37997.75966,8,12,11,31,Winter
Australia,AUS,2006,36570.72037,1,0,1,2,Winter
Austria,AUT,2006,40669.32696,9,7,7,23,Winter
Belarus,BLR,2006,3847.434124,0,1,0,1,Winter
Canada,CAN,2006,40504.06073,6,9,6,21,Winter
China,CHN,2006,2099.229435,2,4,5,11,Winter
Czechia,CZE,2006,15261.79759,1,2,1,4,Winter
Estonia,EST,2006,12639.40007,3,0,0,3,Winter
Finland,FIN,2006,41222.602,0,6,3,9,Winter
France,FRA,2006,36470.21284,3,2,4,9,Winter
Italy,ITA,2006,33529.7266,5,0,6,11,Winter
Japan,JPN,2006,35991.546,1,0,0,1,Winter
"Korea, Rep.",KOR,2006,21743.47745,6,3,2,11,Winter
Norway,NOR,2006,74148.32008,2,8,9,19,Winter
Poland,POL,2006,9035.410467,0,1,1,2,Winter
Russian Federation,RUS,2006,6920.188965,8,6,8,22,Winter
Slovak Republic,SVK,2006,13170.78498,0,1,0,1,Winter
Sweden,SWE,2006,46593.60216,7,2,5,14,Winter
Ukraine,UKR,2006,2391.323975,0,0,2,2,Winter
United States,USA,2006,46302.00088,9,9,7,25,Winter
Australia,AUS,2010,52134.30885,2,1,0,3,Winter
Austria,AUT,2010,46903.76159,4,6,6,16,Winter
Belarus,BLR,2010,6033.686239,1,1,1,3,Winter
Canada,CAN,2010,47562.08343,14,7,5,26,Winter
China,CHN,2010,4550.453108,5,2,4,11,Winter
Czechia,CZE,2010,19960.06849,2,0,4,6,Winter
Estonia,EST,2010,14663.04461,0,1,0,1,Winter
Finland,FIN,2010,46505.30318,0,1,4,5,Winter
France,FRA,2010,40676.06479,2,3,6,11,Winter
United Kingdom,GBR,2010,39693.19387,1,0,0,1,Winter
Italy,ITA,2010,36035.645,1,1,3,5,Winter
Japan,JPN,2010,44968.15623,0,3,2,5,Winter
Kazakhstan,KAZ,2010,9070.488253,0,1,0,1,Winter
"Korea, Rep.",KOR,2010,23087.22564,6,6,2,14,Winter
Norway,NOR,2010,87693.79007,9,8,6,23,Winter
Poland,POL,2010,12504.25019,1,3,2,6,Winter
Russian Federation,RUS,2010,10674.99609,3,5,7,15,Winter
Slovak Republic,SVK,2010,16908.84796,1,1,1,3,Winter
Sweden,SWE,2010,52869.04429,5,2,4,11,Winter
United States,USA,2010,48650.64313,9,15,13,37,Winter
Australia,AUS,2014,62513.41122,0,2,1,3,Winter
Austria,AUT,2014,51786.37717,4,8,5,17,Winter
Belarus,BLR,2014,8341.399679,5,0,1,6,Winter
Canada,CAN,2014,50955.99832,10,10,5,25,Winter
China,CHN,2014,7636.116601,3,4,2,9,Winter
Czechia,CZE,2014,19890.91991,2,4,3,9,Winter
Finland,FIN,2014,50327.24029,1,3,1,5,Winter
France,FRA,2014,43068.54872,4,4,7,15,Winter
United Kingdom,GBR,2014,47447.58893,1,1,3,5,Winter
Italy,ITA,2014,35565.72138,0,2,6,8,Winter
Japan,JPN,2014,38475.39525,1,4,3,8,Winter
Kazakhstan,KAZ,2014,12807.26069,0,0,1,1,Winter
"Korea, Rep.",KOR,2014,29249.57522,3,3,2,8,Winter
Norway,NOR,2014,97019.18275,11,6,9,26,Winter
Poland,POL,2014,14182.1375,4,1,1,6,Winter
Russian Federation,RUS,2014,14095.64844,10,10,9,29,Winter
Slovak Republic,SVK,2014,18719.98814,1,0,0,1,Winter
Sweden,SWE,2014,60020.36046,2,7,6,15,Winter
Ukraine,UKR,2014,3104.643311,1,0,1,2,Winter
United States,USA,2014,55123.84979,9,9,10,28,Winter
Australia,AUS,2018,57207.87151,0,2,1,3,Winter
Austria,AUT,2018,51466.55656,5,3,6,14,Winter
Belgium,BEL,2018,47544.98115,0,1,0,1,Winter
Belarus,BLR,2018,6360.062473,2,1,0,3,Winter
Canada,CAN,2018,46548.63841,11,8,10,29,Winter
China,CHN,2018,9905.342004,1,6,2,9,Winter
Czechia,CZE,2018,23424.48046,2,2,3,7,Winter
Spain,ESP,2018,30379.72111,0,0,2,2,Winter
Finland,FIN,2018,49987.62616,1,1,4,6,Winter
France,FRA,2018,41557.85486,5,4,6,15,Winter
United Kingdom,GBR,2018,43306.3083,1,0,4,5,Winter
Hungary,HUN,2018,16425.1013,1,0,0,1,Winter
Italy,ITA,2018,34622.16967,3,2,5,10,Winter
Japan,JPN,2018,39727.1166,4,5,4,13,Winter
Kazakhstan,KAZ,2018,9812.626371,0,0,1,1,Winter
"Korea, Rep.",KOR,2018,33436.92306,5,8,4,17,Winter
Liechtenstein,LIE,2018,175283.6318,0,0,1,1,Winter
Norway,NOR,2018,82267.80932,14,14,11,39,Winter
New Zealand,NZL,2018,43250.44097,0,0,2,2,Winter
Poland,POL,2018,15504.58048,1,0,1,2,Winter
Slovak Republic,SVK,2018,19486.39368,1,2,0,3,Winter
Sweden,SWE,2018,54589.06039,7,6,1,14,Winter
Ukraine,UKR,2018,3096.561768,1,0,0,1,Winter
United States,USA,2018,62823.30944,9,8,6,23,Winter
