Result_ID,Event_Title,Edition_ID,Sport,Result_Location,Result_Detail,Start_Date,End_Date,Time,Year,Season
9270,"7 metres, 1907 Rating, Open",7,Sailing,Oostende,na,1920-07-07,1920-07-09,na,1920,Summer
29722,"Featherweight (≤60 kilograms), Men",20,Weightlifting,"Dvorets sporta Izmaylovo, Moskva",na,1980-07-22,,14:00-19:00,1980,Summer
54126,"Platform, Men",12,Diving,"Wembley Arena, Wembley, London",na,1948-08-04,1948-08-05,na,1948,Summer
4684,"100 metres Backstroke, Men",7,Swimming,"Zwemstadion van Antwerpen, Antwerpen",na,1920-08-22,1920-08-23,na,1920,Summer
1465,"Slalom, Men",47,Alpine Skiing,"Park City Mountain Resort, Park City, Utah (Know You Don't)",Jesse Hunt,2002-02-23,,na,2002,Winter
54255,"Platform, Men",23,Diving,"Piscina Municipal de Montjuïc, Barcelona",na,1992-08-02,1992-08-03,na,1992,Summer
51929,"Rapid-Fire Pistol, 25 metres, Men",25,Shooting,"Sydney International Shooting Centre, Cecil Park, New South Wales",na,2000-09-20,2000-09-21,na,2000,Summer
256298,"Kayak Doubles, 500 metres, Women",25,Canoe Sprint,"Sydney International Regatta Centre, Penrith, New South Wales",na,2000-09-27,2000-10-01,na,2000,Summer
60270,"Shot Put, Men",16,Athletics,"Kokuritsu Kyogijo, Shinjuku, Tokyo",na,1964-10-17,,na,1964,Summer
256358,"Canadian Singles, 500 metres, Men",26,Canoe Sprint,"Olympiako Kopelatodramio Skhoinia, Schinias National Park",na,2004-08-24,2004-08-28,na,2004,Summer
185147,"Individual, Men",13,Equestrian Jumping,"Helsingin Olympiastadion, Helsinki",na,1952-08-03,,na,1952,Summer
29637,"Featherweight (≤60 kilograms), Men",19,Weightlifting,"Aréna Saint-Michel, Montréal, Québec",na,1976-07-20,,14:30-19:00,1976,Summer
6245,"200 metres Breaststroke, Men",18,Swimming,"Schwimmhalle, Olympiapark, München",na,1972-09-02,,na,1972,Summer
59331,"110 metres Hurdles, Men",14,Athletics,"Melbourne Cricket Ground, Melbourne, Victoria",na,1956-11-27,1956-11-28,na,1956,Summer
6995,"1,500 metres Freestyle, Men",21,Swimming,"Olympic Swim Stadium, University of Southern California, Los Angeles, California",na,1984-08-03,1984-08-04,na,1984,Summer
10197,"Windsurfer (Lechner Division II), Open",22,Sailing,"Busan Yachting Center, Busan (Course Bravo)",na,1988-09-20,1988-09-27,na,1988,Summer
70239,"Floor Exercise, Women",15,Artistic Gymnastics,"Terme di Caracalla, Roma",na,1960-09-06,1960-09-09,15:00,1960,Summer
19000470,"4 × 100 metres Relay, Men",61,Athletics,"Japan National Stadium, Kasumigaoka, Shinjuku, Tokyo",na,2021-08-05,2021-08-06,na,2020,Summer
127684,"Light-Flyweight, Greco-Roman (≤48 kilograms), Men",19,Wrestling,"Centre Pierre-Charbonneau, Parc olympique, Montréal, Québec",na,1976-07-20,1976-07-24,na,1976,Summer
57490,"Triple Jump, Men",8,Athletics,"Stade Olympique de Colombes, Colombes",na,1924-07-12,,na,1924,Summer
178,"Singles, Men",46,Luge,"The Spiral, Asakawa, Nagano",Curves: 14Length: 1326 mStart Altitude: 1029 mVertical Drop: 114 m,1998-02-08,1998-02-09,na,1998,Winter
260689,"Lightweight (≤57 kilograms), Women",53,Judo,"Beijing Keji Daxue Tiyuguan, Beijing",na,2008-08-11,,12:00,2008,Summer
22384,"Middleweight (≤73 kilograms), Men",12,Boxing,"Empress Hall, Earls Court Exhibition Centre, Kensington, London / Wembley Arena, Wembley, London",na,1948-08-07,1948-08-13,na,1948,Summer
185419,"Individual, Open",23,Equestrian Jumping,"Real Club de Polo, Barcelona",na,1992-08-04,1992-08-09,08:00 (4/8) (7/8) (9/8),1992,Summer
920066,"Music, Compositions for Orchestra, Open",12,Art Competitions,"Victoria & Albert Museum, London",na,1948-07-29,1948-08-14,na,1948,Summer
925830,"50 yards - Olympic Championships of the Public Schools Athletic League, Elementary School Events, Boys",3,Athletics,"Francis Field, Washington University, St. Louis",na,,,na,1904,Summer
70369,"Rings, Men",18,Artistic Gymnastics,"Sporthalle, Olympiapark, München",na,1972-08-27,,19:30,1972,Summer
924415,"Parallel Giant Slalom, Women",57,Snowboarding,"Cypress Mountain, West Vancouver",CAN,2010-02-26,,na,2010,Winter
9001185,"1,000 metres, Women",60,Short Track Speed Skating,"Gangneung Ice Arena, Gangneung Olympic Park, Coastal Cluster, Gangneung",na,2018-02-20,2018-02-22,na,2018,Winter
21103,"Tug-Of-War, Men",3,Tug-Of-War,"Francis Field, Washington University, St. Louis",na,1904-08-31,1904-09-01,na,1904,Summer
29816,"Featherweight (≤60 kilograms), Men",21,Weightlifting,"Albert Gersten Pavilion, Loyola Marymount University, Los Angeles, California, USA",na,1984-07-31,,14:00-18:00,1984,Summer
70183,"Team All-Around, Men",14,Artistic Gymnastics,"West Melbourne Stadium, Melbourne, Victoria",na,1956-12-03,1956-12-07,08:00-16:00,1956,Summer
925100,"Longest distance travelled (#1), Handicap, Open",2,Ballooning,"L'Aérostation, Parc de Vincennes, Paris",na,1900-08-12,1900-08-13,na,1900,Summer
302141,"3,000 metres Steeplechase, Men",54,Athletics,"Olympic Stadium, Olympic Park, Stratford, London",na,2012-08-03,2012-08-05,na,2012,Summer
121968,"Welterweight, Freestyle (≤72 kilograms), Men",10,Wrestling,"Grand Olympic Auditorium, Los Angeles, California",na,1932-08-01,1932-08-03,na,1932,Summer
61115,"110 metres Hurdles, Men",18,Athletics,"Olympiastadion, Olympiapark, München",na,1972-09-03,1972-09-07,na,1972,Summer
153771,"1,000 metres Time Trial, Men",15,Cycling Track,"Velodrome Olimpico, Roma",na,1960-08-26,,na,1960,Summer
19019516,"Slalom, Women",62,Alpine Skiing,"Yanqing National Alpine Skiing Centre, West Dazhuangke, Zhangshanying, Yanqing District (Ice River)",na,2022-02-09,,10:15,2022,Winter
30811,"Baseball, Men",26,Baseball,"Olympiako Kentro Beisbol, Olympiako Syngrotima Ellenikou, Hellinikon",na,2004-08-15,2004-08-25,na,2004,Summer
67511,"Individual, Women",22,Rhythmic Gymnastics,"Che-yuk-gwan, Ol-lim-pik Gong-won, Seoul",na,1988-09-29,1988-09-30,na,1988,Summer
45440,"Singles, Men",24,Tennis,"Stone Mountain Tennis Center, Stone Mountain, Georgia",na,1996-07-23,1996-08-03,na,1996,Summer
19012189,"Team, Open",61,Equestrian Dressage,"Baji Koen Equestrian Park, Setagaya, Tokyo",na,2021-07-24,2021-07-27,na,2020,Summer
925869,"Discus Throw, Handicap - Western AAU Handicap Meeting, Men",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-07-29,,na,1904,Summer
350001,"Super G, Men1",58,Alpine Skiing,"Gornolyzhniy Tsenter Rosa Khutor, Mountain Cluster, Krasnaya Polyana",FRA,2014-02-16,,10:00,2014,Winter
67500,"Individual, Women",21,Rhythmic Gymnastics,"Edwin W. Pauley Pavilion, Los Angeles, California",na,1984-08-09,1984-08-11,na,1984,Summer
350096,"Curling, Men",58,Curling,"Kyorlingovyi Tsentr Ledyanoy Kub, Coastal Cluster, Adler",na,2014-02-10,2014-02-21,na,2014,Winter
51959,"Air Pistol, 10 metres, Women",25,Shooting,"Sydney International Shooting Centre, Cecil Park, New South Wales",na,2000-09-17,,na,2000,Summer
70739,"Horse Vault, Women",24,Artistic Gymnastics,"Georgia Dome, Atlanta, Georgia",na,1996-07-21,1996-07-29,na,1996,Summer
45947,"Doubles, Men",26,Tennis,"Olympiako Kentro Antisfairises, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi",na,2004-08-15,2004-08-21,na,2004,Summer
158995,"Coxed Quadruple Sculls, Women",21,Rowing,"Lake Casitas, Los Padres National Forest, California",na,1984-07-30,1984-08-04,na,1984,Summer
57222,"56-pound Weight Throw, Men",7,Athletics,"Olympisch Stadion, Antwerpen",na,1920-08-20,1920-08-21,na,1920,Summer
925683,"120 yards Hurdles, Handicap - Olympic Open Handicap Meeting, Men",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-05-21,,na,1904,Summer
925719,"100 yards - Olympic Elementary School Championship (St. Louis), Boys Under 13 Years, Boys",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-05-30,,na,1904,Summer
59763,"4 x 400 metres Relay, Men",15,Athletics,"Stadio Olimpico, Roma",na,1960-09-07,1960-09-08,na,1960,Summer
4509,"1,500 metres Freestyle, Men",5,Swimming,"White City Stadium, London",na,1908-07-21,1908-07-25,na,1908,Summer
5282,"100 metres Backstroke, Men",13,Swimming,"Helsingin Uimastadion, Helsinki",na,1952-07-30,1952-08-01,na,1952,Summer
8877,"200 metres Individual Medley, Men",26,Swimming,"Olympiako Kentro Ugrou Stivou, Olympiako Athletiko Kentro Athinon Spiros Loues, Athina (Main Pool)",na,2004-08-18,2004-08-19,na,2004,Summer
30104,"Middleweight (≤76 kilograms), Men",24,Weightlifting,"Georgia World Congress Center, Atlanta, Georgia (Hall E)",na,1996-07-24,,na,1996,Summer
262678,"Team, Women",53,Table Tennis,"Beijing Daxue Tiyuguan, Beijing",na,2008-08-13,2008-08-17,na,2008,Summer
50288,"Individual, Men",26,Modern Pentathlon,"Olympiako Kentro Modernou Pentathlou, Olympiako Syngrotima Goudiou, Athina",na,2004-08-26,,na,2004,Summer
34725,"Handball, Women",21,Handball,"Titan Gym, California State University at Fullerton, Fullerton, California",na,1984-08-01,1984-08-09,na,1984,Summer
925647,"56-pound Weight Throw, Handicap, Men",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-09-01,,na,1904,Summer
9512,"Three Person Keelboat (Dragon), Open",12,Sailing,"Torbay, Torquay (6-metre and Dragon Course)",na,1948-08-03,1948-08-12,na,1948,Summer
31969,"Basketball, Men",13,Basketball,"Messuhalli II, Helsinki / Tennispalatsi, Helsinki",na,1952-07-14,1952-08-02,na,1952,Summer
127382,"Featherweight, Freestyle (≤62 kilograms), Men",19,Wrestling,"Aréna Maurice-Richard, Montréal, Québec / Centre Pierre-Charbonneau, Parc olympique, Montréal, Québec",na,1976-07-27,1976-07-31,na,1976,Summer
58224,"5,000 metres, Men",11,Athletics,"Olympiastadion, Reichssportfeld, Berlin",na,1936-08-04,1936-08-07,na,1936,Summer
22839,"Lightweight (≤60 kilograms), Men",14,Boxing,"West Melbourne Stadium, Melbourne, Victoria",na,1956-11-23,1956-12-01,na,1956,Summer
16794,"Heavyweight (>95 kilograms), Men",22,Judo,"Jang-chung Che-yuk-gwan, Seoul",na,1988-10-01,,na,1988,Summer
925923,"Long Jump - YMCA Championship, Men",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-08-20,,na,1904,Summer
51773,"Air Rifle, 10 metres, Women",21,Shooting,"Prado Recreational Area, Chino, California",na,1984-07-31,,09:00-16:00,1984,Summer
59370,"4 x 400 metres Relay, Men",14,Athletics,"Melbourne Cricket Ground, Melbourne, Victoria",na,1956-11-30,1956-12-01,na,1956,Summer
261405,"Skeet, Men",53,Shooting,"Beijing Shejichang Feidie Bachang, Beijing",na,2008-08-15,2008-08-16,na,2008,Summer
6000249,"Music, Compositions for Orchestra, Open",13,Art Competitions,"Helsingin Taidehalli, Helsinki",na,1952-07-16,1952-08-03,na,1952,Summer
126798,"Super-Heavyweight, Freestyle (>100 kilograms), Men",18,Wrestling,"Ringer-Judo-Halle, Messegelände (Halle 14), München",na,1972-08-27,1972-08-31,na,1972,Summer
185246,"Team, Open",18,Equestrian Eventing,"Reitstadion, Riem, München / Military-Gelände Poing, Poing",na,1972-08-29,1972-09-01,na,1972,Summer
51890,"Small-Bore Rifle, Three Positions, 50 metres, Men",24,Shooting,"Wolf Creek Shooting Complex, Atlanta, Georgia",na,1996-07-27,,na,1996,Summer
185271,"Individual, Open",19,Equestrian Eventing,"Centre équestre olympique, Bromont, Québec",na,1976-07-23,1976-07-25,na,1976,Summer
34202,"Football, Women",25,Football,"Melbourne Cricket Ground, Melbourne, Victoria / Bruce Stadium, Canberra, Australian Capital Territory / Sydney Football Stadium, Sydney, New South Wales",na,2000-09-13,2000-09-28,na,2000,Summer
155049,"Sprint, Men",26,Cycling Track,"Olympiako Podilatodromio, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi",na,2004-08-22,2004-08-24,na,2004,Summer
70427,"Rings, Men",19,Artistic Gymnastics,"Le Forum de Montréal, Montréal, Québec",na,1976-07-18,1976-07-23,19:30,1976,Summer
1423,"Giant Slalom, Women",45,Alpine Skiing,"Hafjell Alpinsenter, Øyer",Wolfgang Maier,1994-02-24,,na,1994,Winter
40556,"Individual, Women",18,Archery,"Bogenschießanlage, Englischer Garten, München",na,1972-09-07,1972-09-10,na,1972,Summer
153584,"Tandem Sprint, 2,000 metres, Men",12,Cycling Track,"Herne Hill Velodrome, London",na,1948-08-07,1948-08-11,na,1948,Summer
1061,"1,000 metres, Women",42,Speed Skating,"Pista za brzo klizanje Zetra, Sarajevo",na,1984-02-13,,09:15-10:20,1984,Winter
6233,"100 metres Breaststroke, Men",18,Swimming,"Schwimmhalle, Olympiapark, München",na,1972-08-29,1972-08-30,na,1972,Summer
70829,"Individual All-Around, Men",26,Artistic Gymnastics,"Olympiako Kleisto Gymnastirio, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi",na,2004-08-14,2004-08-18,na,2004,Summer
64779,"4 x 100 metres Relay, Men",24,Athletics,"Centennial Olympic Stadium, Atlanta, Georgia",na,1996-08-02,1996-08-03,na,1996,Summer
90016763,"Doubles, Women",22,Badminton,"Che-yuk-gwan, Seo-ul Dae-hak-gyo, Seoul",na,1988-09-19,,na,1988,Summer
44678,"Doubles, Women",7,Tennis,"Royal Beerschot Tennis & Hockey Club, Antwerpen",na,1920-08-17,1920-08-24,na,1920,Summer
1239,"Giant Slalom, Men",38,Alpine Skiing,"Le Recoin, Chamrousse (Piste Simond)",Fritz Wagnerberger,1968-02-11,1968-02-12,na,1968,Winter
8491,"400 metres Individual Medley, Men",25,Swimming,"Sydney International Aquatic Centre, Olympic Park, Sydney, New South Wales",na,2000-09-17,,na,2000,Summer
155139,"Sprint, Women",26,Cycling Track,"Olympiako Podilatodromio, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi",na,2004-08-22,2004-08-24,na,2004,Summer
51647,"Running Target, Single and Double Shot, Men",13,Shooting,"Malmin Ampumarata, Malmi, Helsinki",na,1952-07-28,1952-07-29,09:00,1952,Summer
86748,"Foil, Individual, Men",14,Fencing,"Town Hall, St. Kilda, Victoria",na,1956-11-26,,na,1956,Summer
10608,"Multihull (Tornado), Open",24,Sailing,"Wassaw Sound, Savannah, Georgia (Delta Course)",na,1996-07-23,1996-07-30,na,1996,Summer
70182,"Individual All-Around, Men",14,Artistic Gymnastics,"West Melbourne Stadium, Melbourne, Victoria",na,1956-12-03,1956-12-07,08:00-16:00,1956,Summer
901176,"Middleweight (≤ 70 kilograms), Women",23,Taekwondo,"Palau Blaugrana, Barcelona",na,1992-08-04,,na,1992,Summer
313027,"Parallel Bars, Men",54,Artistic Gymnastics,"North Greenwich Arena, Greenwich, London",na,2012-07-28,2012-08-07,na,2012,Summer
38237,"Water Polo, Men",13,Water Polo,"Helsingin Uimastadion, Helsinki",na,1952-07-25,1952-08-02,na,1952,Summer
18000588,"Individual, Women",61,Archery,"Yumenoshima Park Archery Field, Koto, Tokyo",na,2021-07-23,2021-07-30,na,2020,Summer
7205,"200 metres Butterfly, Women",21,Swimming,"Olympic Swim Stadium, University of Southern California, Los Angeles, California",na,1984-08-04,,na,1984,Summer
4401,"500 metres Freestyle, Men",1,Swimming,"Ormos tes Zeas, Peiraias",na,1896-04-11,,na,1896,Summer
185004,"Four-In-Hand Competition, Open",2,Equestrian Driving,"Place de Breteuil, Paris",na,1900-06-02,,14:00,1900,Summer
185062,"Team, Men",8,Equestrian Jumping,"Stade Olympique de Colombes, Colombes",na,1924-07-27,,na,1924,Summer
56862,"Shot Put, Both Hands, Men",6,Athletics,"Stockholms Olympiastadion, Stockholm",na,1912-07-11,,na,1912,Summer
23817,"Light-Welterweight (≤63.5 kilograms), Men",17,Boxing,"Arena México, Ciudad de México",na,1968-10-13,1968-10-26,na,1968,Summer
62286,"20 kilometres Race Walk, Men",20,Athletics,"Bolshaya arena, Tsentralny stadion imeni V.I. Lenina, Moskva",na,1980-07-24,,17:00,1980,Summer
2076,"5 kilometres, Classical, Women",46,Cross Country Skiing,"Snow Harp, Hakuba","Course Length: 5,000 mHeight Differential: 98 mIntermediate 1: 1.8 kmMaximum Climb: 44 mTotal Climbing: 195 m",1998-02-09,,9:00,1998,Winter
5128,"4 x 100 metres Freestyle Relay, Women",11,Swimming,"Schwimmstadion, Reichssportfeld, Berlin",na,1936-08-12,1936-08-14,na,1936,Summer
6634,"400 metres Freestyle, Women",19,Swimming,"Piscine olympique, Montréal, Québec",na,1976-07-20,,na,1976,Summer
259958,"Individual All-Around, Men",53,Artistic Gymnastics,"Guojia Tiyuguan, Beijing Aolinpike Gongyuan, Beijing",na,2008-08-09,2008-08-14,na,2008,Summer
358677,"4 x 400 metres Relay, Men",59,Athletics,"Estádio Olímpico João Havelange, Engenho de Dentro, Rio de Janeiro",na,2016-08-19,2016-08-20,na,2016,Summer
9000639,"Ice Dancing, Mixed",60,Figure Skating,"Gangneung Ice Arena, Gangneung Olympic Park, Coastal Cluster, Gangneung",na,2018-02-19,2018-02-20,na,2018,Winter
350027,"7.5 kilometres Sprint, Women",58,Biathlon,"Kompleks Dlya Sorevnovaniy Po Lyzhnym Gonkam i Biatlonu Laura, Mountain Cluster, Krasnaya Polyana","Course Length: 7,741 mHeight Differential: 31 mMaximum Climb: 31 mShooting 1: Prone at 2.574 km, 50 m rangeShooting 2: Standing at 5.107 km, 50 m rangeTotal Climbing: 258 m",2014-02-09,,18:30,2014,Winter
924312,"Moguls, Women",57,Freestyle Skiing,"Cypress Mountain, West Vancouver",Gradient: 28°Length: 250 mStart Elevation: ?Vertical Drop: ?Width: 18 m,2010-02-13,,na,2010,Winter
1012,"3,000 metres, Women",36,Speed Skating,"Speed Skating Oval, Squaw Valley, California",na,1960-02-23,,na,1960,Winter
185080,"Individual, Men",9,Equestrian Jumping,"Olympisch Stadion, Amsterdam",na,1928-08-12,,14:00-18:00,1928,Summer
1488,"Super G, Men1",49,Alpine Skiing,Sestriere Borgata (Kandahar Banchetta),AUT,2006-02-18,,14:45,2006,Winter
31600,"Softball, Women",24,Softball,"Golden Ball Park, Columbus, Georgia",na,1996-07-21,1996-07-30,na,1996,Summer
130167,"Heavyweight, Freestyle (≤100 kilograms), Men",22,Wrestling,"Sang-mu Che-yuk-gwan, Seongnam",na,1988-09-28,1988-09-30,na,1988,Summer
61156,"4 x 400 metres Relay, Men",18,Athletics,"Olympiastadion, Olympiapark, München",na,1972-09-09,1972-09-10,na,1972,Summer
926086,"Eights, Intermediate, Men",3,Rowing,"Creve Coeur Lake, Maryland Heights",na,1904-07-29,,na,1904,Summer
63214,"Heptathlon, Women",21,Athletics,"Los Angeles Memorial Coliseum, Los Angeles, California",na,1984-08-03,1984-08-04,na,1984,Summer
70106,"Parallel Bars, Men",10,Artistic Gymnastics,"Los Angeles Memorial Coliseum, Los Angeles, California",na,1932-08-12,,8:00,1932,Summer
925690,"Hammer Throw, Handicap - Olympic Open Handicap Meeting, Men",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-05-21,,na,1904,Summer
159012,"Single Sculls, Men",22,Rowing,"Mi-sa-ri Jo-jeong-gyeong-gi-jang, Hanam",na,1988-09-19,1988-09-24,na,1988,Summer
261275,"Three Person Keelboat (Yngling), Women",53,Sailing,"Qingdao Aolinpike Fanchuan Zhongxin, Qingdao",na,2008-08-09,2008-08-17,na,2008,Summer
22945,"Light-Heavyweight (≤81 kilograms), Men",14,Boxing,"West Melbourne Stadium, Melbourne, Victoria",na,1956-11-23,1956-12-01,na,1956,Summer
9000112,"Super G, Women",60,Alpine Skiing,"Jeongseon Alpine Centre, Mountain Cluster, Bukpyeong (Jeongseon Downhill)",AUT,2018-02-17,,11:00,2018,Winter
29355,"Middle-Heavyweight (≤90 kilograms), Men",16,Weightlifting,"Shibuya Kokaido, Shibuya, Tokyo",na,1964-10-17,,10:00-16:00,1964,Summer
32969,"Basketball, Women",25,Basketball,"Sydney SuperDome, Olympic Park, Sydney, New South Wales / The Dome and Exhibition Complex, Olympic Park, Sydney, New South Wales",na,2000-09-16,2000-09-30,na,2000,Summer
61868,"Javelin Throw, Men",19,Athletics,"Stade olympique, Parc olympique, Montréal, Québec",na,1976-07-25,1976-07-26,na,1976,Summer
1195,"Giant Slalom, Men",34,Alpine Skiing,Norefjell,UNK,1952-02-15,,13:00,1952,Winter
261876,"Team, Women",53,Artistic Swimming,"Beijing Guojia Youyong Zhongxin, Beijing Aolinpike Gongyuan, Beijing",na,2008-08-22,2008-08-23,na,2008,Summer
19019657,"Four, Open",62,Bobsleigh,"Yanqing National Sliding Centre, West Dazhuangke, Zhangshanying, Yanqing District","Curves: 16Length: 1,615 mStart Altitude: 1,017 mVertical Drop: 121 m",2022-02-19,2022-02-20,na,2022,Winter
56876,"Discus Throw, Men",6,Athletics,"Stockholms Olympiastadion, Stockholm",na,1912-07-12,,na,1912,Summer
51734,"Trap, Open",18,Shooting,"Schießanlage, Hochbrück, München",na,1972-08-27,1972-08-29,09:00 (all days),1972,Summer
15139,"Lightweight (≤63 kilograms), Men",18,Judo,"Ringer-Judo-Halle, Messegelände (Halle 14), München",na,1972-09-04,,na,1972,Summer
351748,"Doubles, Women",59,Badminton,"Riocentro Pavilhão 4, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro",na,2016-08-11,2016-08-18,na,2016,Summer
51832,"Free Pistol, 50 metres, Men",23,Shooting,"Campo de Tiro Olímpico de Mollet, Mollet del Vallès",na,1992-07-26,,11:30-16:00,1992,Summer
359110,"20 kilometres Race Walk, Women",59,Athletics,"Praia do Pontal, Recreio dos Bandeirantes, Rio de Janeiro",na,2016-08-19,,14:30,2016,Summer
62738,"Marathon, Men",21,Athletics,"Los Angeles Memorial Coliseum, Los Angeles, California",na,1984-08-12,,17:15,1984,Summer
40646,"Individual, Women",21,Archery,"El Dorado Park, Long Beach, California",na,1984-08-08,1984-08-11,na,1984,Summer
255411,"Kayak Singles, Slalom, Men",18,Canoe Slalom,"Kanuslalomanlage, Augsburg",na,1972-08-28,,13:00,1972,Summer
256265,"Canadian Doubles, 1,000 metres, Men",25,Canoe Sprint,"Sydney International Regatta Centre, Penrith, New South Wales",na,2000-09-26,2000-09-30,na,2000,Summer
56649,"Cross-Country, Individual, Men",6,Athletics,"Stockholms Olympiastadion, Stockholm",na,1912-07-15,,11:11,1912,Summer
134052,"Welterweight, Greco-Roman (≤66 kilograms), Men",26,Wrestling,"Olympiako Gymnastirio Ano Liosion, Ano Liossia",na,2004-08-24,2004-08-25,na,2004,Summer
350278,"Slopestyle, Women",58,Freestyle Skiing,"Ekstrim-Park Rosa Khutor, Krasnaya Polyana",Course Length: 635 mGradient: 23.1°Jibbing Features: 3Jump Features: 3Start Altitude: 1162 mVertical Drop: 147 m,2014-02-11,,na,2014,Winter
58903,"800 metres, Men",13,Athletics,"Helsingin Olympiastadion, Helsinki",na,1952-07-20,1952-07-22,na,1952,Summer
19000233,"4 x 200 metres Freestyle Relay, Women",61,Swimming,"Olympic Aquatics Centre, 2-1, 2chome, Tatsumi, Koto-ku, Tatsumi-no-Mori Seaside Park, Tokyo, Japan",na,2021-07-28,2021-07-29,na,2020,Summer
9256,"6 metres, 1907 Rating, Open",7,Sailing,Oostende,na,1920-07-07,1920-07-10,na,1920,Summer
30077,"Bantamweight (≤59 kilograms), Men",24,Weightlifting,"Georgia World Congress Center, Atlanta, Georgia (Hall E)",na,1996-07-21,,na,1996,Summer
302552,"4 x 400 metres Relay, Women",54,Athletics,"Olympic Stadium, Olympic Park, Stratford, London",na,2012-08-10,2012-08-11,na,2012,Summer
122087,"Middleweight, Greco-Roman (≤79 kilograms), Men",10,Wrestling,"Grand Olympic Auditorium, Los Angeles, California",na,1932-08-04,1932-08-07,na,1932,Summer
95039,"Épée, Team, Men",17,Fencing,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",na,1968-10-24,1968-10-25,na,1968,Summer
63128,"High Jump, Women",21,Athletics,"Los Angeles Memorial Coliseum, Los Angeles, California",na,1984-08-09,1984-08-10,na,1984,Summer
62350,"Long Jump, Men",20,Athletics,"Bolshaya arena, Tsentralny stadion imeni V.I. Lenina, Moskva",na,1980-07-27,1980-07-28,na,1980,Summer
154648,"100 kilometres Team Time Trial, Men",22,Cycling Road,"Tongil-ro Circuit, Paju",na,1988-09-18,,09:00,1988,Summer
19016138,"Kayak Doubles, 1,000 metres, Men",61,Canoe Sprint,"Sea Forest Waterway, 6-44, 3chome, Uminomori, Koto-ku, Tokyo Bay, Tokyo, Japan",na,2021-08-04,2021-08-05,na,2020,Summer
1091,"1,500 metres, Women",45,Speed Skating,"Olympiahall, Hamar",na,1994-02-21,,14:00-15:10,1994,Winter
70265,"Parallel Bars, Men",16,Artistic Gymnastics,"Tōkyō Taiikukan, Shibuya, Tokyo",na,1964-10-18,1964-10-23,na,1964,Summer
29906,"Featherweight (≤60 kilograms), Men",22,Weightlifting,"Olympic Weightlifting Gymnasium, Ol-lim-pik Gong-won, Seoul",na,1988-09-20,,17:00-21:00,1988,Summer
9204,"1-2 Ton Race One, Open",2,Sailing,"Cercle de la Voile de Paris, Meulan",na,1900-05-22,,13:10,1900,Summer
12548,"Singles, Men",7,Figure Skating,"IJspaleis Antwerpen, Antwerpen",na,1920-04-25,1920-04-27,na,1920,Summer
154010,"Sprint, Men",17,Cycling Track,"Velódromo Olímpico Agustín Melgar, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",na,1968-10-18,1968-10-19,na,1968,Summer
1118,"1,000 metres, Women",47,Speed Skating,"Utah Olympic Oval, Kearns, Utah",na,2002-02-17,,17:15,2002,Winter
2008,"4 × 5 kilometres Relay, Women",42,Cross Country Skiing,"Veliko Polje, Igman",Course Length: ?Height Differential: 89 mMaximum Climb: 38 mTotal Climbing: 153 m,1984-02-15,,8:45,1984,Winter
18001466,"Heavyweight (>78 kilograms), Women",61,Judo,"Nippon Budokan, Chiyoda, Tokyo",na,2021-07-30,,na,2020,Summer
255030,"Kayak Singles, 10,000 metres, Men",12,Canoe Marathon,"Henley Royal Regatta Course, Henley-on-Thames",na,1948-08-11,,17:00,1948,Summer
332000,"Featherweight, Greco-Roman (≤55 kilograms), Men",54,Wrestling,"ExCeL, Newham, London (North Arena 2)",na,2012-08-05,,na,2012,Summer
29674,"Middle-Heavyweight (≤90 kilograms), Men",19,Weightlifting,"Aréna Saint-Michel, Montréal, Québec",na,1976-07-25,,14:30-19:00,1976,Summer
358817,"Hammer Throw, Men",59,Athletics,"Estádio Olímpico João Havelange, Engenho de Dentro, Rio de Janeiro",na,2016-08-17,2016-08-19,na,2016,Summer
258609,"Beach Volleyball, Men",53,Beach Volleyball,"Chaoyang Gongyuan Shatan Paiqiu Chang, Beijing",na,2008-08-09,2008-08-22,na,2008,Summer
1561,"10 kilometres Sprint, Men",45,Biathlon,"Birkebeineren Skistadion, Lillehammer","Course Length: 10,747 mHeight Differential: 57 mMaximum Climb: 32 mShooting 1: Prone at ? km, 50 m rangeShooting 2: Standing at ? km, 50 m rangeTotal Climbing: 404 m",1994-02-23,,13:00-14:50,1994,Winter
185073,"Individual, Men",9,Equestrian Dressage,"Sportpark, Hilversum",na,1928-08-10,1928-08-11,10:30,1928,Summer
351430,"Featherweight (≤57 kilograms), Women",59,Taekwondo,"Arena Carioca 3, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro",na,2016-08-18,2016-08-19,na,2016,Summer
