Result_ID,Event_Title,Edition_ID,Sport,Result_Location,Result_Detail,Start_Date,End_Date,Time,Year,Season
70511,"Balance Beam, Women",20,Artistic Gymnastics,"Dvorets sporta, Tsentralny stadion imeni V. I. Lenina, Moskva",na,1980-07-21,1980-07-25,na,1980,Summer
8160,"50 metres Freestyle, Women",24,Swimming,"Georgia Tech Aquatic Center, Atlanta, Georgia",na,1996-07-26,,na,1996,Summer
58818,"Long Jump, Women",12,Athletics,"Empire Stadium, Wembley, London",na,1948-08-04,,na,1948,Summer
54219,"Platform, Men",20,Diving,"Plavatelny basseyn, Sportivny kompleks Olimpiysky, Moskva",na,1980-07-27,1980-07-28,na,1980,Summer
100,"Doubles, Open",41,Luge,"Mt. Van Hoevenberg Recreation Area, Lake Placid (Bob Run)",Curves: 11Length: 749 mStart Altitude: 695 mVertical Drop: 59 m,1980-02-19,,na,1980,Winter
54204,"Springboard, Men",19,Diving,"Piscine olympique, Montréal, Québec",na,1976-07-21,1976-07-22,na,1976,Summer
158382,"Eights, Men",15,Rowing,"Lago Albano, Castel Gandolfo",na,1960-08-31,1960-09-03,na,1960,Summer
963,"5,000 metres, Men",30,Speed Skating,"Olympia-Eisstadion Badrutts Park, St. Moritz",na,1928-02-13,,13:00-17:00,1928,Winter
353680,"Floor Exercise, Women",59,Artistic Gymnastics,"Arena Olímpica do Rio, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro",na,2016-08-07,2016-08-16,na,2016,Summer
19016207,"Kayak Singles, 200 metres, Women",61,Canoe Sprint,"Sea Forest Waterway, 6-44, 3chome, Uminomori, Koto-ku, Tokyo Bay, Tokyo, Japan",na,2021-08-02,2021-08-03,na,2020,Summer
123073,"Light-Heavyweight, Greco-Roman (≤87 kilograms), Men",12,Wrestling,"Empress Hall, Earls Court Exhibition Centre, Kensington, London",na,1948-08-03,1948-08-06,10:00-13:30-18:00-23:30 (all days),1948,Summer
58230,"10,000 metres, Men",11,Athletics,"Olympiastadion, Reichssportfeld, Berlin",na,1936-08-02,,17:30,1936,Summer
50045,"Individual, Men",11,Modern Pentathlon,"Truppenübungsplatz, Döberitz, Brandenburg / Haus des Sports, Kuppelsaal, Reichssportfeld, Berlin / Schießstände, Ruhleben, Berlin / Schwimmstadion, Reichssportfeld, Berlin / Golfplatz, Wannsee, Berlin",na,1936-08-02,1936-08-06,na,1936,Summer
255594,"Kayak Singles, 1,000 metres, Men",20,Canoe Sprint,"Grebnoy kanal, Sportivny komplex Krylatskoye, Moskva",na,1980-07-31,1980-08-02,na,1980,Summer
124052,"Featherweight, Greco-Roman (≤62 kilograms), Men",14,Wrestling,"Royal Exhibition Building, Melbourne, Victoria",na,1956-12-03,1956-12-06,na,1956,Summer
900043,"Canadian Fours, 800 metres, Men",8,Canoe Sprint,"Bassin d'Argenteuil, Paris",na,1924-07-15,,na,1924,Summer
19019505,"Slalom, Men",62,Alpine Skiing,"Yanqing National Alpine Skiing Centre, West Dazhuangke, Zhangshanying, Yanqing District (Ice River)",na,2022-02-16,,10:15,2022,Winter
936,"1,500 metres, Women",49,Short Track Speed Skating,"Palavela, Torino",na,2006-02-18,,na,2006,Winter
30095,"Lightweight (≤70 kilograms), Men",24,Weightlifting,"Georgia World Congress Center, Atlanta, Georgia (Hall E)",na,1996-07-23,,na,1996,Summer
924000,"Ice Hockey, Men",57,Ice Hockey,"Canada Hockey Place, Vancouver / UBC Thunderbird Arena, University Endowment Lands",na,2010-02-16,2010-02-28,na,2010,Winter
1358,"Giant Slalom, Men",43,Alpine Skiing,Nakiska (Whoop Up),George Capaul,1988-02-25,,na,1988,Winter
154420,"Individual Pursuit, 4,000 metres, Men",20,Cycling Track,"Velotrek, Sportivny kompleks Krylatskoye, Moskva",na,1980-07-22,1980-07-24,na,1980,Summer
925632,"880 yards, Handicap, Men",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-08-29,,na,1904,Summer
256166,"Canadian Doubles, Slalom, Men",24,Canoe Slalom,"Ocoee Whitewater Center, Polk County, Tennessee",Downstream gates: 18Total gates: 25Upstream gates: 7,1996-07-28,,10:00-13:30,1996,Summer
19020317,"Team Relay, Mixed",62,Luge,"Yanqing National Sliding Centre, West Dazhuangke, Zhangshanying, Yanqing District","Curves: 15Length: 1,475 mStart Altitude: 1,000 mVertical Drop: 104 m",2022-02-10,,21:30,2022,Winter
54177,"Platform, Women",16,Diving,"Kokuritsu Yoyogi Kyogijo, Shibuya, Tokyo",na,1964-10-15,,na,1964,Summer
924527,"5,000 metres, Women",57,Speed Skating,"Richmond Olympic Oval, Richmond",na,2010-02-24,,13:00,2010,Winter
35613,"Hockey, Men",13,Hockey,"Helsingin Velodromi, Helsinki / Porvoon Keskuskenttä, Porvoo / Kaurialan Kenttä, Hämeenlinna",na,1952-07-15,1952-07-25,na,1952,Summer
58016,"4 x 100 metres Relay, Men",10,Athletics,"Los Angeles Memorial Coliseum, Los Angeles, California",na,1932-08-06,1932-08-07,na,1932,Summer
4596,"100 metres Backstroke, Men",6,Swimming,"Simstadion, Djurgårdsbrunnsviken, Stockholm",na,1912-07-09,1912-07-13,na,1912,Summer
66049,"400 metres, Men",26,Athletics,"Olympiako Stadio, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi",na,2004-08-20,2004-08-23,na,2004,Summer
63413,"50 kilometres Race Walk, Men",22,Athletics,"Ol-lim-pik Ju-gyeong-gi-jang, Seoul Sports Complex, Seoul",na,1988-09-30,,8:00,1988,Summer
356924,"Team Sprint, Women",59,Cycling Track,"Velódromo Olímpico do Rio, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro",na,2016-08-12,,na,2016,Summer
7457,"50 metres Freestyle, Women",22,Swimming,"Su-yeong-jang, Ol-lim-pik Gong-won, Seoul",na,1988-09-25,,na,1988,Summer
56224,"Standing High Jump, Men",4,Athletics,"Panathinaiko Stadio, Athina",na,1906-05-01,,na,1906,
305333,"Heavyweight (≤91 kilograms), Men",54,Boxing,"ExCeL, Newham, London",na,2012-08-01,2012-08-11,na,2012,Summer
255209,"Kayak Singles, 500 metres, Women",15,Canoe Sprint,"Lago Albano, Castel Gandolfo",na,1960-08-26,1960-08-29,na,1960,Summer
258948,"Madison, Men",53,Cycling Track,"Laoshan Zixingcheguan, Beijing",na,2008-08-19,2008-08-19,17:30,2008,Summer
153626,"Road Race, Individual, Men",12,Cycling Road,"Windsor Great Park, Windsor",na,1948-08-13,,11:00,1948,Summer
123105,"Heavyweight, Greco-Roman (>87 kilograms), Men",12,Wrestling,"Empress Hall, Earls Court Exhibition Centre, Kensington, London",na,1948-08-03,1948-08-06,10:00-13:30-18:00-23:30 (all days),1948,Summer
925797,"High Jump - Olympic Interscholastic Handicap Meet, Boys",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-06-29,,na,1904,Summer
5118,"200 metres Breaststroke, Women",11,Swimming,"Schwimmstadion, Reichssportfeld, Berlin",na,1936-08-08,1936-08-11,na,1936,Summer
9538,"One Person Dinghy (Finn), Open",13,Sailing,"Helsingfors Segelsällskap, Liuskasaari, Helsinki",na,1952-07-20,1952-07-28,na,1952,Summer
58045,"Triple Jump, Men",10,Athletics,"Los Angeles Memorial Coliseum, Los Angeles, California",na,1932-08-04,,14:30,1932,Summer
925840,"880 yards - Olympic Irish Sports, Men",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-07-20,,na,1904,Summer
93474,"Foil, Individual, Men",17,Fencing,"Sala de Armas Fernando Montes de Oca, Ciudad Deportiva Magdalena Mixhuca, Ciudad de México",na,1968-10-15,1968-10-16,na,1968,Summer
30086,"Featherweight (≤64 kilograms), Men",24,Weightlifting,"Georgia World Congress Center, Atlanta, Georgia (Hall E)",na,1996-07-22,,na,1996,Summer
25779,"Lightweight (≤60 kilograms), Men",22,Boxing,"Jam-sil Hak-saeng Che-yuk-gwan, Seoul Sports Complex, Seoul",na,1988-09-19,1988-10-01,na,1988,Summer
924607,"Skeleton, Women",57,Skeleton,"Whistler Sliding Centre, Whistler",Curves: 15Length: 1450 mStart Altitude: 928 mVertical Drop: 148 m,2010-02-18,2010-02-19,na,2010,Winter
7141,"200 metres Freestyle, Women",21,Swimming,"Olympic Swim Stadium, University of Southern California, Los Angeles, California",na,1984-07-30,,na,1984,Summer
28772,"Lightweight (≤67½ kilograms), Men",10,Weightlifting,"Grand Olympic Auditorium, Los Angeles, California",na,1932-07-30,,18:00,1932,Summer
60360,"100 metres, Women",16,Athletics,"Kokuritsu Kyogijo, Shinjuku, Tokyo",na,1964-10-15,1964-10-16,na,1964,Summer
57159,"3,000 metres Steeplechase, Men",7,Athletics,"Olympisch Stadion, Antwerpen",na,1920-08-18,1920-08-20,na,1920,Summer
28285,"Welterweight (≤80 kilograms), Men",26,Taekwondo,"Kleisto Gymnastirio Falirou, Olympiako Syngrotima Papaliakis Zonis Falirou, Faliro",na,2004-08-28,,na,2004,Summer
261416,"Air Rifle, 10 metres, Women",53,Shooting,"Beijing Shejiguan, Beijing",na,2008-08-09,,na,2008,Summer
