Country_Name,Year,Country_Code,Gold,Silver,Bronze,Total,Season,GDP,Population,Gold_Net,Silver_Net,Bronze_Net,Total_Net
Singapore,1960,SGP,0.0,1.0,0.0,1.0,Summer,428058.98000000004,1646400.0,0.0,1.0,0.0,1.0
Ireland,1960,IRL,0.0,0.0,0.0,0.0,0,685614.7124000001,2828600.0,0.0,0.0,0.0,0.0
Iraq,1960,IRQ,0.0,0.0,1.0,1.0,Summer,237713.20789999998,7084678.0,0.0,0.0,1.0,1.0
India,1960,IND,0.0,1.0,0.0,1.0,Summer,83035.10182,445954579.0,0.0,1.0,0.0,1.0
Belarus,1960,BLR,0.0,0.0,0.0,0.0,0,,8198000.0,0.0,0.0,0.0,0.0
Belgium,1960,BEL,0.0,2.0,2.0,4.0,Summer,1273691.659,9153489.0,0.0,2.0,2.0,4.0
United States,1960,USA,34.0,21.0,16.0,71.0,Summer,3007123.4450000003,180671000.0,34.0,21.0,16.0,71.0
Georgia,1960,GEO,0.0,0.0,0.0,0.0,0,,3645600.0,0.0,0.0,0.0,0.0
Iceland,1960,ISL,0.0,0.0,0.0,0.0,0,1414982.269,175574.0,0.0,0.0,0.0,0.0
United States,1960,USA,3.0,4.0,3.0,10.0,Winter,3007123.4450000003,180671000.0,37.0,25.0,19.0,81.0
Spain,1960,ESP,0.0,0.0,1.0,1.0,Summer,396392.2533,30455000.0,0.0,0.0,1.0,1.0
Serbia,1960,SRB,0.0,0.0,0.0,0.0,0,,6608000.0,0.0,0.0,0.0,0.0
Jordan,1960,JOR,0.0,0.0,0.0,0.0,0,,847936.0,0.0,0.0,0.0,0.0
Guyana,1960,GUY,0.0,0.0,0.0,0.0,0,297584.30779999995,571990.0,0.0,0.0,0.0,0.0
Japan,1960,JPN,4.0,7.0,7.0,18.0,Summer,475319.07560000004,93216000.0,4.0,7.0,7.0,18.0
Syrian Arab Republic,1960,SYR,0.0,0.0,0.0,0.0,0,186024.2872,4610712.0,0.0,0.0,0.0,0.0
Senegal,1960,SEN,0.0,0.0,0.0,0.0,0,306641.6434,3273177.0,0.0,0.0,0.0,0.0
Uzbekistan,1960,UZB,0.0,0.0,0.0,0.0,0,,8372311.0,0.0,0.0,0.0,0.0
Ghana,1960,GHA,0.0,1.0,0.0,1.0,Summer,176095.64839999998,6911510.0,0.0,1.0,0.0,1.0
Ukraine,1960,UKR,0.0,0.0,0.0,0.0,0,,42767251.0,0.0,0.0,0.0,0.0
Hungary,1960,HUN,6.0,8.0,7.0,21.0,Summer,,9983967.0,6.0,8.0,7.0,21.0
Finland,1960,FIN,2.0,3.0,3.0,8.0,Winter,1179353.011,4429634.0,2.0,3.0,3.0,8.0
Finland,1960,FIN,1.0,1.0,3.0,5.0,Summer,1179353.011,4429634.0,3.0,4.0,6.0,13.0
Brazil,1960,BRA,0.0,0.0,2.0,2.0,Summer,232998.7625,73092515.0,0.0,0.0,2.0,2.0
