,Country_Name,Year
335,Iraq,2002
336,Iraq,2004
337,Iraq,2006
338,Iraq,2008
339,Iraq,2010
340,Iraq,2012
341,Iraq,2014
342,Iraq,2016
343,Iraq,2018
344,Iraq,2020
345,Italy,1960
346,Italy,1964
347,Italy,1968
348,Italy,1972
349,Italy,1976
350,Italy,1980
351,Italy,1984
352,Italy,1988
353,Italy,1992
354,Italy,1994
355,Italy,1996
356,Italy,1998
357,Italy,2000
358,Italy,2002
359,Italy,2004
360,Italy,2006
361,Italy,2008
362,Italy,2010
363,Italy,2012
364,Italy,2014
365,Italy,2016
366,Italy,2018
367,Italy,2020
368,Japan,1960
369,Japan,1964
370,Japan,1968
371,Japan,1972
372,Japan,1976
373,Japan,1980
374,Japan,1984
375,Japan,1988
376,Japan,1992
377,Japan,1994
378,Japan,1996
379,Japan,1998
380,Japan,2000
381,Japan,2002
382,Japan,2004
383,Japan,2006
384,Japan,2008
385,Japan,2010
386,Japan,2012
387,Japan,2014
388,Japan,2016
389,Japan,2018
390,Japan,2020
391,Morocco,1960
392,Morocco,1964
393,Morocco,1968
394,Morocco,1972
395,Morocco,1976
396,Morocco,1980
397,Morocco,1984
398,Morocco,1988
399,Morocco,1992
400,Morocco,1994
401,Morocco,1996
402,Morocco,1998
403,Morocco,2000
404,Morocco,2002
405,Morocco,2004
406,Morocco,2006
407,Morocco,2008
408,Morocco,2010
409,Morocco,2012
410,Morocco,2014
411,Morocco,2016
412,Morocco,2018
413,Morocco,2020
414,Mexico,1960
415,Mexico,1964
416,Mexico,1968
417,Mexico,1972
418,Mexico,1976
419,Mexico,1980
420,Mexico,1984
421,Mexico,1988
422,Mexico,1992
423,Mexico,1994
424,Mexico,1996
425,Mexico,1998
426,Mexico,2000
427,Mexico,2002
428,Mexico,2004
429,Mexico,2006
430,Mexico,2008
431,Mexico,2010
432,Mexico,2012
433,Mexico,2014
434,Mexico,2016
435,Mexico,2018
436,Mexico,2020
437,Norway,1960
438,Norway,1964
439,Norway,1968
440,Norway,1972
441,Norway,1976
442,Norway,1980
443,Norway,1984
444,Norway,1988
445,Norway,1992
446,Norway,1994
447,Norway,1996
448,Norway,1998
449,Norway,2000
450,Norway,2002
451,Norway,2004
452,Norway,2006
453,Norway,2008
454,Norway,2010
455,Norway,2012
456,Norway,2014
457,Norway,2016
458,Norway,2018
459,Norway,2020
460,New Zealand,1960
461,New Zealand,1964
462,New Zealand,1968
463,New Zealand,1972
464,New Zealand,1976
465,New Zealand,1980
466,New Zealand,1984
467,New Zealand,1988
468,New Zealand,1992
469,New Zealand,1994
470,New Zealand,1996
471,New Zealand,1998
472,New Zealand,2000
473,New Zealand,2002
474,New Zealand,2004
475,New Zealand,2006
476,New Zealand,2008
477,New Zealand,2010
478,New Zealand,2012
479,New Zealand,2014
480,New Zealand,2016
481,New Zealand,2018
482,New Zealand,2020
483,Pakistan,1960
484,Pakistan,1964
485,Pakistan,1968
486,Pakistan,1972
487,Pakistan,1976
488,Pakistan,1980
489,Pakistan,1984
490,Pakistan,1988
491,Pakistan,1992
492,Pakistan,1994
493,Pakistan,1996
494,Pakistan,1998
495,Pakistan,2000
496,Pakistan,2002
497,Pakistan,2004
498,Pakistan,2006
499,Pakistan,2008
500,Pakistan,2010
501,Pakistan,2012
502,Pakistan,2014
503,Pakistan,2016
504,Pakistan,2018
505,Pakistan,2020
506,Poland,1960
507,Poland,1964
508,Poland,1968
509,Poland,1972
510,Poland,1976
511,Poland,1980
512,Poland,1984
513,Poland,1988
514,Poland,1992
515,Poland,1994
516,Poland,1996
517,Poland,1998
518,Poland,2000
519,Poland,2002
520,Poland,2004
521,Poland,2006
522,Poland,2008
523,Poland,2010
524,Poland,2012
525,Poland,2014
526,Poland,2016
527,Poland,2018
528,Poland,2020
529,Romania,1960
530,Romania,1964
531,Romania,1968
532,Romania,1972
533,Romania,1976
534,Romania,1980
535,Romania,1984
536,Romania,1988
537,Romania,1992
538,Romania,1994
539,Romania,1996
540,Romania,1998
541,Romania,2000
542,Romania,2002
543,Romania,2004
544,Romania,2006
545,Romania,2008
546,Romania,2010
547,Romania,2012
548,Romania,2014
549,Romania,2016
550,Romania,2018
551,Romania,2020
552,Singapore,1960
553,Singapore,1964
554,Singapore,1968
555,Singapore,1972
556,Singapore,1976
557,Singapore,1980
558,Singapore,1984
559,Singapore,1988
560,Singapore,1992
561,Singapore,1994
562,Singapore,1996
563,Singapore,1998
564,Singapore,2000
565,Singapore,2002
566,Singapore,2004
567,Singapore,2006
568,Singapore,2008
569,Singapore,2010
570,Singapore,2012
571,Singapore,2014
572,Singapore,2016
573,Singapore,2018
574,Singapore,2020
575,Sweden,1960
576,Sweden,1964
577,Sweden,1968
578,Sweden,1972
579,Sweden,1976
580,Sweden,1980
581,Sweden,1984
582,Sweden,1988
583,Sweden,1992
584,Sweden,1994
585,Sweden,1996
586,Sweden,1998
587,Sweden,2000
588,Sweden,2002
589,Sweden,2004
590,Sweden,2006
591,Sweden,2008
592,Sweden,2010
593,Sweden,2012
594,Sweden,2014
595,Sweden,2016
596,Sweden,2018
597,Sweden,2020
598,Turkiye,1960
599,Turkiye,1964
600,Turkiye,1968
601,Turkiye,1972
602,Turkiye,1976
603,Turkiye,1980
604,Turkiye,1984
605,Turkiye,1988
606,Turkiye,1992
607,Turkiye,1994
608,Turkiye,1996
609,Turkiye,1998
610,Turkiye,2000
611,Turkiye,2002
612,Turkiye,2004
613,Turkiye,2006
614,Turkiye,2008
615,Turkiye,2010
616,Turkiye,2012
617,Turkiye,2014
618,Turkiye,2016
619,Turkiye,2018
620,Turkiye,2020
621,United States,1960
622,United States,1964
623,United States,1968
624,United States,1972
625,United States,1976
626,United States,1980
627,United States,1984
628,United States,1988
629,United States,1992
630,United States,1994
631,United States,1996
632,United States,1998
633,United States,2000
634,United States,2002
635,United States,2004
636,United States,2006
637,United States,2008
638,United States,2010
639,United States,2012
640,United States,2014
641,United States,2016
642,United States,2018
643,United States,2020
644,"Venezuela, RB",1960
645,"Venezuela, RB",1964
646,"Venezuela, RB",1968
647,"Venezuela, RB",1972
648,"Venezuela, RB",1976
649,"Venezuela, RB",1980
650,"Venezuela, RB",1984
651,"Venezuela, RB",1988
652,"Venezuela, RB",1992
653,"Venezuela, RB",1994
654,"Venezuela, RB",1996
655,"Venezuela, RB",1998
656,"Venezuela, RB",2000
657,"Venezuela, RB",2002
658,"Venezuela, RB",2004
659,"Venezuela, RB",2006
660,"Venezuela, RB",2008
661,"Venezuela, RB",2010
662,"Venezuela, RB",2012
663,"Venezuela, RB",2014
664,"Venezuela, RB",2016
665,"Venezuela, RB",2018
666,"Venezuela, RB",2020
667,Cuba,1960
668,Cuba,1964
669,Cuba,1968
670,Cuba,1972
671,Cuba,1976
672,Cuba,1980
673,Cuba,1984
674,Cuba,1988
675,Cuba,1992
676,Cuba,1994
677,Cuba,1996
678,Cuba,1998
679,Cuba,2000
680,Cuba,2002
681,Cuba,2004
682,Cuba,2006
683,Cuba,2008
684,Cuba,2010
685,Cuba,2012
686,Cuba,2014
687,Cuba,2016
688,Cuba,2018
689,Cuba,2020
690,Ireland,1960
691,Ireland,1964
692,Ireland,1968
693,Ireland,1972
694,Ireland,1976
695,Ireland,1980
696,Ireland,1984
697,Ireland,1988
698,Ireland,1992
699,Ireland,1994
700,Ireland,1996
701,Ireland,1998
702,Ireland,2000
703,Ireland,2002
704,Ireland,2004
705,Ireland,2006
706,Ireland,2008
707,Ireland,2010
708,Ireland,2012
709,Ireland,2014
710,Ireland,2016
711,Ireland,2018
712,Ireland,2020
713,Kenya,1960
714,Kenya,1964
715,Kenya,1968
716,Kenya,1972
717,Kenya,1976
718,Kenya,1980
719,Kenya,1984
720,Kenya,1988
721,Kenya,1992
722,Kenya,1994
723,Kenya,1996
724,Kenya,1998
725,Kenya,2000
726,Kenya,2002
727,Kenya,2004
728,Kenya,2006
729,Kenya,2008
730,Kenya,2010
731,Kenya,2012
732,Kenya,2014
733,Kenya,2016
734,Kenya,2018
735,Kenya,2020
736,"Korea, Rep.",1960
737,"Korea, Rep.",1964
738,"Korea, Rep.",1968
739,"Korea, Rep.",1972
740,"Korea, Rep.",1976
741,"Korea, Rep.",1980
742,"Korea, Rep.",1984
743,"Korea, Rep.",1988
744,"Korea, Rep.",1992
745,"Korea, Rep.",1994
746,"Korea, Rep.",1996
747,"Korea, Rep.",1998
748,"Korea, Rep.",2000
749,"Korea, Rep.",2002
750,"Korea, Rep.",2004
751,"Korea, Rep.",2006
752,"Korea, Rep.",2008
753,"Korea, Rep.",2010
754,"Korea, Rep.",2012
755,"Korea, Rep.",2014
756,"Korea, Rep.",2016
757,"Korea, Rep.",2018
758,"Korea, Rep.",2020
759,"Korea, Dem. People's Rep.",1960
760,"Korea, Dem. People's Rep.",1964
761,"Korea, Dem. People's Rep.",1968
762,"Korea, Dem. People's Rep.",1972
763,"Korea, Dem. People's Rep.",1976
764,"Korea, Dem. People's Rep.",1980
765,"Korea, Dem. People's Rep.",1984
766,"Korea, Dem. People's Rep.",1988
767,"Korea, Dem. People's Rep.",1992
768,"Korea, Dem. People's Rep.",1994
769,"Korea, Dem. People's Rep.",1996
770,"Korea, Dem. People's Rep.",1998
771,"Korea, Dem. People's Rep.",2000
