,Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medals_per_GDP
48,Sweden,SWE,Winter,1960,2114002.973,7484656.0,0.2824449076884763,3,2,2,7,9,6,6,21,9.9337608642048e-06
49,Sweden,SWE,Winter,1960,2114002.973,7484656.0,0.2824449076884763,3,2,2,7,9,6,6,21,9.9337608642048e-06
50,Turkiye,TUR,Summer,1960,508290.6132,27510980.0,0.01847591809524779,7,2,0,9,21,6,0,27,5.311921821656021e-05
51,United States,USA,Summer,1960,3007123.4450000003,180671000.0,0.01664419549900095,34,21,16,71,102,63,48,213,7.083181116297671e-05
52,United States,USA,Summer,1960,3007123.4450000003,180671000.0,0.01664419549900095,34,21,16,71,102,63,48,213,7.083181116297671e-05
53,United States,USA,Winter,1960,3007123.4450000003,180671000.0,0.01664419549900095,3,4,3,10,9,12,9,30,9.97631143140517e-06
54,United States,USA,Winter,1960,3007123.4450000003,180671000.0,0.01664419549900095,3,4,3,10,9,12,9,30,9.97631143140517e-06
55,"Venezuela, RB",VEN,Summer,1960,953677.9441999999,8156937.0,0.1169161836360879,0,0,1,1,0,0,3,3,3.1457160336412868e-06
56,Argentina,ARG,Summer,1964,1179504.098,21708487.0,0.05433377729180297,0,1,0,1,0,3,0,3,2.5434417778512883e-06
57,Australia,AUS,Summer,1964,2131277.657,11167000.0,0.1908549885376556,6,2,10,18,18,6,30,54,2.5336914607367837e-05
58,Austria,AUT,Winter,1964,1269412.583,7223801.0,0.17572640539239662,4,5,3,12,12,15,9,36,2.8359573933733408e-05
59,Belgium,BEL,Summer,1964,1701846.276,9378113.0,0.1814700117177091,2,0,1,3,6,0,3,9,5.288374236216855e-06
60,Brazil,BRA,Summer,1964,254838.581,82262794.0,0.0030978595378124405,0,0,1,1,0,0,3,3,1.1772157842928815e-05
61,Canada,CAN,Summer,1964,2555111.146,19325000.0,0.13221791182406212,1,2,1,4,3,6,3,12,4.696468886993771e-06
62,Canada,CAN,Summer,1964,2555111.146,19325000.0,0.13221791182406212,1,2,1,4,3,6,3,12,4.696468886993771e-06
63,Canada,CAN,Winter,1964,2555111.146,19325000.0,0.13221791182406212,1,1,1,3,3,3,3,9,3.5223516652453285e-06
64,Canada,CAN,Winter,1964,2555111.146,19325000.0,0.13221791182406212,1,1,1,3,3,3,3,9,3.5223516652453285e-06
65,Cuba,CUB,Summer,1964,0.0,7902286.0,0.0,0,1,0,1,0,3,0,3,0.0
66,Ethiopia,ETH,Summer,1964,0.0,24073696.0,0.0,1,0,0,1,3,0,0,3,0.0
67,Finland,FIN,Summer,1964,1707503.938,4548543.0,0.3753957999297797,3,0,2,5,9,0,6,15,8.7847527997912e-06
68,Finland,FIN,Summer,1964,1707503.938,4548543.0,0.3753957999297797,3,0,2,5,9,0,6,15,8.7847527997912e-06
69,Finland,FIN,Winter,1964,1707503.938,4548543.0,0.3753957999297797,3,4,3,10,9,12,9,30,1.75695055995824e-05
70,Finland,FIN,Winter,1964,1707503.938,4548543.0,0.3753957999297797,3,4,3,10,9,12,9,30,1.75695055995824e-05
71,France,FRA,Summer,1964,1928999.402,48733997.0,0.03958221202336431,1,8,6,15,3,24,18,45,2.332815653200498e-05
72,France,FRA,Summer,1964,1928999.402,48733997.0,0.03958221202336431,1,8,6,15,3,24,18,45,2.332815653200498e-05
73,France,FRA,Winter,1964,1928999.402,48733997.0,0.03958221202336431,3,4,0,7,9,12,0,21,1.088647304826899e-05
74,France,FRA,Winter,1964,1928999.402,48733997.0,0.03958221202336431,3,4,0,7,9,12,0,21,1.088647304826899e-05
75,United Kingdom,GBR,Summer,1964,1748288.118,54000000.0,0.03237570588888889,4,12,2,18,12,36,6,54,3.088735743498315e-05
76,United Kingdom,GBR,Summer,1964,1748288.118,54000000.0,0.03237570588888889,4,12,2,18,12,36,6,54,3.088735743498315e-05
77,United Kingdom,GBR,Winter,1964,1748288.118,54000000.0,0.03237570588888889,1,0,0,1,3,0,0,3,1.7159643019435083e-06
78,United Kingdom,GBR,Winter,1964,1748288.118,54000000.0,0.03237570588888889,1,0,0,1,3,0,0,3,1.7159643019435083e-06
79,Ghana,GHA,Summer,1964,226576.967,7640196.0,0.02965591026722351,0,0,1,1,0,0,3,3,1.3240533844731005e-05
80,Hungary,HUN,Summer,1964,0.0,10119835.0,0.0,10,7,5,22,30,21,15,66,0.0
81,India,IND,Summer,1964,115487.6084,489059309.0,0.00023614233749305854,1,0,0,1,3,0,0,3,2.5976812937447583e-05
82,Ireland,IRL,Summer,1964,965135.4227,2866550.0,0.33668884990668224,0,0,1,1,0,0,3,3,3.1083720786119274e-06
83,Italy,ITA,Summer,1964,1222544.54,51675350.0,0.02365817628714658,10,10,7,27,30,30,21,81,6.625525479832416e-05
84,Italy,ITA,Summer,1964,1222544.54,51675350.0,0.02365817628714658,10,10,7,27,30,30,21,81,6.625525479832416e-05
85,Italy,ITA,Winter,1964,1222544.54,51675350.0,0.02365817628714658,0,1,3,4,0,3,9,12,9.81559330345543e-06
86,Italy,ITA,Winter,1964,1222544.54,51675350.0,0.02365817628714658,0,1,3,4,0,3,9,12,9.81559330345543e-06
87,Japan,JPN,Summer,1964,843616.8785,96903000.0,0.008705787008658143,16,5,8,29,48,15,24,87,0.00010312738189246649
88,Kenya,KEN,Summer,1964,110392.0208,9047387.0,0.01220153628887545,0,0,1,1,0,0,3,3,2.717587718984849e-05
