Year,Sport
1896,43
1900,188
1904,402
1908,113
1912,110
1920,164
1924,143
1928,128
1932,133
1936,151
1948,154
1952,158
1956,147
1960,150
1964,188
1968,187
1972,205
1976,198
1980,203
1984,228
1988,270
1992,286
1996,273
2000,302
2004,303
2008,317
2012,302
2016,306
2020,336
