,Country_Name,Gold,Silver,Bronze,Total_Medals,Year,Cumulative,Gold_Cumulative,Silver_Cumulative,Bronze_Cumulative
1232,Burundi,0,1,0,1,2016-01-01,2,1,1,0
1218,Jordan,1,0,0,1,2016-01-01,1,1,0,0
1233,Grenada,0,1,0,1,2016-01-01,2,1,1,0
1220,Puerto Rico,1,0,0,1,2016-01-01,9,1,2,6
1221,Singapore,1,0,0,1,2016-01-01,5,1,2,2
1222,Tajikistan,1,0,0,1,2016-01-01,4,1,1,2
1223,Malaysia,0,4,1,5,2016-01-01,11,0,7,4
1224,Mexico,0,3,2,5,2016-01-01,68,13,24,31
1219,Kosovo,1,0,0,1,2016-01-01,1,1,0,0
1226,Algeria,0,2,0,2,2016-01-01,17,5,4,8
1227,Ireland,0,2,0,2,2016-01-01,34,9,11,14
1228,Lithuania,0,1,3,4,2016-01-01,25,6,6,13
1229,Bulgaria,0,1,2,3,2016-01-01,224,52,89,83
1230,India,0,1,1,2,2016-01-01,28,9,7,12
1231,Mongolia,0,1,1,2,2016-01-01,26,2,10,14
1225,Venezuela,0,2,1,3,2016-01-01,15,2,4,9
1731,Italy,3,2,5,10,2018-01-01,712,251,219,242
1730,Japan,4,5,4,13,2018-01-01,499,156,158,185
1729,Austria,5,3,6,14,2018-01-01,326,85,116,125
1728,France,5,4,6,15,2018-01-01,863,257,279,327
1727,Switzerland,5,6,4,15,2018-01-01,349,108,125,116
1726,Republic of Korea,5,8,4,17,2018-01-01,337,121,112,104
1723,United States,9,8,6,23,2018-01-01,2841,1132,910,799
1724,Netherlands,8,6,6,20,2018-01-01,423,133,138,152
1722,Canada,11,8,10,29,2018-01-01,497,135,167,195
1721,Germany,14,10,7,31,2018-01-01,1013,327,347,339
1720,Norway,14,14,11,39,2018-01-01,522,187,177,158
1732,ROC,2,6,9,17,2018-01-01,17,2,6,9
1725,Sweden,7,6,1,14,2018-01-01,653,200,217,236
1733,Czech Republic,2,2,3,7,2018-01-01,88,24,28,36
1735,People's Republic of China,1,6,2,9,2018-01-01,608,237,195,176
1749,Liechtenstein,0,0,1,1,2018-01-01,10,2,2,6
1748,Latvia,0,0,1,1,2018-01-01,28,4,14,10
1747,Kazakhstan,0,0,1,1,2018-01-01,71,15,24,32
1746,Spain,0,0,2,2,2018-01-01,156,46,64,46
1745,New Zealand,0,0,2,2,2018-01-01,120,46,28,46
1734,Belarus,2,1,0,3,2018-01-01,96,20,32,44
1743,Slovenia,0,1,1,2,2018-01-01,40,7,13,20
1744,Belgium,0,1,0,1,2018-01-01,165,44,58,63
1741,Ukraine,1,0,0,1,2018-01-01,128,37,31,60
1740,Hungary,1,0,0,1,2018-01-01,502,177,151,174
1739,Poland,1,0,1,2,2018-01-01,314,78,93,143
1738,Great Britain,1,0,4,5,2018-01-01,892,280,307,305
1737,Finland,1,1,4,6,2018-01-01,475,147,149,179
1736,Slovakia,1,2,0,3,2018-01-01,36,12,16,8
1742,Australia,0,2,1,3,2018-01-01,510,150,168,192
1324,Malaysia,0,1,1,2,2020-01-01,13,0,8,5
1323,Jordan,0,1,1,2,2020-01-01,3,1,1,1
1322,San Marino,0,1,2,3,2020-01-01,3,0,1,2
1321,Argentina,0,1,2,3,2020-01-01,77,21,26,30
1320,Mongolia,0,1,3,4,2020-01-01,30,2,11,17
1313,Morocco,1,0,0,1,2020-01-01,24,7,5,12
1318,Armenia,0,2,2,4,2020-01-01,18,2,8,8
1317,Dominican Republic,0,3,2,5,2020-01-01,12,3,5,4
1316,Azerbaijan,0,3,4,7,2020-01-01,49,7,14,28
1315,Colombia,0,4,1,5,2020-01-01,34,5,13,16
1314,Puerto Rico,1,0,0,1,2020-01-01,10,2,2,6
1325,Nigeria,0,1,1,2,2020-01-01,27,3,11,13
1319,Kyrgyzstan,0,2,1,3,2020-01-01,7,0,3,4
1326,Bahrain,0,1,0,1,2020-01-01,4,2,2,0
1334,Finland,0,0,2,2,2020-01-01,477,147,149,181
1328,Lithuania,0,1,0,1,2020-01-01,26,6,7,13
1329,Namibia,0,1,0,1,2020-01-01,5,0,5,0
1330,North Macedonia,0,1,0,1,2020-01-01,2,0,1,1
1331,Turkmenistan,0,1,0,1,2020-01-01,1,0,1,0
1332,Kazakhstan,0,0,8,8,2020-01-01,79,15,24,40
1333,Mexico,0,0,4,4,2020-01-01,72,13,24,35
1335,Botswana,0,0,1,1,2020-01-01,2,0,1,1
1336,Burkina Faso,0,0,1,1,2020-01-01,1,0,0,1
1337,Côte d'Ivoire,0,0,1,1,2020-01-01,4,1,1,2
1338,Ghana,0,0,1,1,2020-01-01,5,0,1,4
1339,Grenada,0,0,1,1,2020-01-01,3,1,1,1
1340,Kuwait,0,0,1,1,2020-01-01,3,0,0,3
1341,Republic of Moldova,0,0,1,1,2020-01-01,6,0,2,4
1342,Syrian Arab Republic,0,0,1,1,2020-01-01,4,1,1,2
1327,Kingdom of Saudi Arabia,0,1,0,1,2020-01-01,4,0,2,2
1312,Bermuda,1,0,0,1,2020-01-01,2,1,0,1
1308,Estonia,1,0,1,2,2020-01-01,43,14,11,18
1310,Latvia,1,0,1,2,2020-01-01,30,5,14,11
1276,Islamic Republic of Iran,3,2,2,7,2020-01-01,76,24,23,29
1275,Croatia,3,3,2,8,2020-01-01,52,18,19,15
1274,Denmark,3,4,4,11,2020-01-01,214,48,83,83
1273,Switzerland,3,4,6,13,2020-01-01,362,111,129,122
1272,Sweden,3,6,0,9,2020-01-01,662,203,223,236
1271,Spain,3,8,6,17,2020-01-01,173,49,72,52
1270,Jamaica,4,1,4,9,2020-01-01,87,26,36,25
1269,Norway,4,2,2,8,2020-01-01,530,191,179,160
1268,Kenya,4,4,2,10,2020-01-01,113,35,42,36
1267,Czech Republic,4,4,3,11,2020-01-01,99,28,32,39
1266,Poland,4,5,5,14,2020-01-01,328,82,98,148
1311,Thailand,1,0,1,2,2020-01-01,35,10,8,17
1264,Hungary,6,7,7,20,2020-01-01,522,183,158,181
1263,Cuba,7,3,5,15,2020-01-01,235,84,69,82
1262,New Zealand,7,6,7,20,2020-01-01,140,53,34,53
1261,Brazil,7,6,8,21,2020-01-01,150,37,42,71
1260,Canada,7,6,11,24,2020-01-01,521,142,173,206
1259,Italy,10,10,20,40,2020-01-01,752,261,229,262
1258,Germany,10,11,16,37,2020-01-01,1050,337,358,355
1257,France,10,12,11,33,2020-01-01,896,267,291,338
1256,Netherlands,10,12,14,36,2020-01-01,459,143,150,166
1255,Australia,17,7,22,46,2020-01-01,556,167,175,214
1254,ROC,20,28,23,71,2020-01-01,88,22,34,32
1253,Great Britain,22,20,22,64,2020-01-01,956,302,327,327
1252,Japan,27,14,17,58,2020-01-01,557,183,172,202
1251,People's Republic of China,38,32,18,88,2020-01-01,696,275,227,194
1250,United States,39,41,33,113,2020-01-01,2954,1171,951,832
1277,Serbia,3,1,5,9,2020-01-01,24,6,7,11
1278,Belgium,3,1,3,7,2020-01-01,172,47,59,66
1265,Republic of Korea,6,4,10,20,2020-01-01,357,127,116,114
1280,Slovenia,3,1,1,5,2020-01-01,45,10,14,21
1279,Bulgaria,3,1,2,6,2020-01-01,230,55,90,85
1309,Fiji,1,0,1,2,2020-01-01,3,2,0,1
1307,Tunisia,1,1,0,2,2020-01-01,15,5,3,7
1306,Portugal,1,1,2,4,2020-01-01,28,5,9,14
1305,Ethiopia,1,1,2,4,2020-01-01,58,23,12,23
1304,Indonesia,1,1,3,5,2020-01-01,37,8,14,15
1303,Egypt,1,1,4,6,2020-01-01,36,8,10,18
1302,Austria,1,1,5,7,2020-01-01,333,86,117,130
1300,Slovakia,1,2,1,4,2020-01-01,40,13,18,9
1299,Philippines,1,2,1,4,2020-01-01,14,1,5,8
1298,"Hong Kong, China",1,2,3,6,2020-01-01,9,2,3,4
1297,India,1,2,4,7,2020-01-01,35,10,9,16
1296,Venezuela,1,3,0,4,2020-01-01,19,3,7,9
1295,Romania,1,3,0,4,2020-01-01,309,90,97,122
1301,South Africa,1,2,0,3,2020-01-01,91,27,34,30
1293,Ukraine,1,6,12,19,2020-01-01,147,38,37,72
1294,Belarus,1,3,3,7,2020-01-01,103,21,35,47
1282,Georgia,2,5,1,8,2020-01-01,40,10,12,18
1283,Chinese Taipei,2,4,6,12,2020-01-01,36,7,11,18
1284,Türkiye,2,2,9,13,2020-01-01,103,41,26,36
1285,Greece,2,1,1,4,2020-01-01,122,36,45,41
1286,Uganda,2,1,1,4,2020-01-01,11,4,4,3
1281,Uzbekistan,3,0,2,5,2020-01-01,37,11,6,20
1288,Ireland,2,0,2,4,2020-01-01,38,11,11,16
1289,Israel,2,0,2,4,2020-01-01,13,3,1,9
1290,Qatar,2,0,1,3,2020-01-01,8,2,2,4
1291,Kosovo,2,0,0,2,2020-01-01,3,3,0,0
1292,The Bahamas,2,0,0,2,2020-01-01,16,8,2,6
1287,Ecuador,2,1,0,3,2020-01-01,5,3,2,0
1766,New Zealand,2,1,0,3,2022-01-01,143,55,35,53
1767,Australia,1,2,1,4,2022-01-01,560,168,177,215
1768,Great Britain,1,1,0,2,2022-01-01,958,303,328,327
1769,Hungary,1,0,2,3,2022-01-01,525,184,158,183
1770,Belgium,1,0,1,2,2022-01-01,174,48,59,67
1773,Belarus,0,2,0,2,2022-01-01,105,21,37,47
1772,Slovakia,1,0,1,2,2022-01-01,42,14,18,10
1774,Spain,0,1,0,1,2022-01-01,174,49,73,52
1775,Ukraine,0,1,0,1,2022-01-01,148,38,38,72
1776,Estonia,0,0,1,1,2022-01-01,44,14,11,19
1765,Finland,2,2,4,8,2022-01-01,485,149,151,185
1771,Czech Republic,1,0,1,2,2022-01-01,101,29,32,40
1764,Slovenia,2,3,2,7,2022-01-01,52,12,17,23
1777,Latvia,0,0,1,1,2022-01-01,31,5,14,12
1762,Italy,2,7,8,17,2022-01-01,769,263,236,270
1761,Japan,3,6,9,18,2022-01-01,575,186,178,211
1760,Canada,4,8,14,26,2022-01-01,547,146,181,220
1759,France,5,7,2,14,2022-01-01,910,272,298,340
1758,ROC,6,12,14,32,2022-01-01,120,28,46,46
1757,Switzerland,7,2,6,15,2022-01-01,377,118,131,128
1756,Austria,7,7,4,18,2022-01-01,351,93,124,134
1755,Netherlands,8,5,4,17,2022-01-01,476,151,155,170
1754,Sweden,8,5,5,18,2022-01-01,680,211,228,241
1753,United States,8,10,7,25,2022-01-01,2979,1179,961,839
1752,People's Republic of China,9,4,2,15,2022-01-01,711,284,231,196
1751,Germany,12,10,4,26,2022-01-01,1076,349,368,359
1750,Norway,16,8,13,37,2022-01-01,567,207,187,173
1763,Republic of Korea,2,5,2,9,2022-01-01,366,129,121,116
1778,Poland,0,0,1,1,2022-01-01,329,82,98,149
