,Country_Name,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
32,Denmark,6,12,12,17,29,42,53,62,70,75,97,103,106,112,118,126,127,130,135,141,145,151,151,157,158,164,164,172,172,179,179,188,188,203,203,214,214
33,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,6,6,7,7,12,12
35,East Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,55,109,183,207,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
36,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,5,5
37,Egypt,0,0,0,0,0,0,0,4,4,9,14,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,21,21,23,23,27,27,30,30,36,36
38,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
39,Estonia,0,0,0,0,0,3,9,14,14,21,21,21,21,21,21,21,21,21,21,21,21,23,23,23,23,26,29,32,35,37,38,40,40,41,41,43,44
40,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,6,10,10,10,13,13,16,16,24,24,31,31,38,38,46,46,54,54,58,58
41,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
42,Finland,0,0,0,5,31,65,89,103,117,130,145,160,171,177,184,188,194,200,208,220,225,231,237,241,253,257,264,266,275,279,284,287,292,293,299,301,309
43,France,11,122,122,141,156,198,220,233,243,253,271,280,294,298,309,321,329,334,341,356,365,384,389,426,434,472,483,516,525,568,579,614,629,671,686,719,733
44,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
45,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8,12,12,19,19,25,25,32,32,40,40
46,Germany,13,22,36,49,75,75,75,95,108,161,161,176,187,212,241,241,241,241,241,241,241,295,319,384,413,469,505,554,583,624,654,698,717,759,790,827,853
47,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
48,Great Britain,7,45,47,193,234,277,296,318,335,343,357,363,384,404,413,426,444,451,462,481,505,525,527,542,543,571,572,602,602,653,654,719,724,791,796,860,862
49,Greece,47,47,49,53,55,56,57,57,57,57,57,57,58,59,59,60,62,62,65,67,68,70,70,78,78,91,91,107,107,110,110,112,112,118,118,122,122
50,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3
51,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
52,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,Haiti,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
54,"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,9,9
55,Hungary,6,11,15,24,32,32,42,52,60,68,82,103,116,137,159,191,226,248,264,264,287,317,317,338,338,355,355,372,372,382,382,400,400,415,416,436,439
56,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
57,India,0,2,2,2,2,2,2,3,4,5,6,8,9,10,11,12,13,13,14,14,14,14,14,15,15,16,16,17,17,20,20,26,26,28,28,35,35
58,Individual Olympic Athletes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5
59,Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,10,10,16,16,20,20,26,26,29,29,32,32,37,37
60,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,Ireland,0,0,0,0,0,0,2,3,5,5,6,7,12,12,13,13,13,13,15,16,16,18,18,22,22,23,23,23,23,26,26,32,32,34,34,38,38
62,Islamic Republic of Iran,0,0,0,0,0,0,0,0,0,0,1,8,13,17,19,24,27,29,29,29,30,33,33,36,36,40,40,46,46,48,48,61,61,69,69,76,76
63,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,6,6,7,7,7,7,9,9,13,13
64,Italy,0,5,5,9,17,42,58,78,114,141,172,183,195,213,228,238,249,257,265,282,291,307,327,362,372,406,419,451,462,489,494,522,530,558,568,608,625
65,Jamaica,0,0,0,0,0,0,0,0,0,0,3,8,8,8,8,9,10,12,15,18,20,24,24,30,30,39,39,44,44,55,55,67,67,78,78,87,87
66,Japan,0,0,0,0,0,2,3,8,26,46,46,55,65,83,112,137,153,178,179,195,202,216,221,235,245,263,265,302,303,328,333,371,379,420,433,491,509
67,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
68,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,16,23,23,31,31,40,41,52,53,70,71,79,79
69,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,19,19,19,22,31,39,39,47,47,54,54,61,61,77,77,90,90,103,103,113,113
70,Kingdom of Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,4,4
71,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
72,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3
73,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,4,4,7,7
74,Latvia,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,6,6,7,7,10,10,14,15,18,20,22,27,27,28,30,31
75,Lebanon,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
76,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10
77,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,8,8,11,11,16,16,21,21,25,25,26,26
78,Luxembourg,0,0,0,0,0,1,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
79,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,4,4,6,6,11,11,13,13
80,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
81,Mexico,0,0,0,0,0,0,0,0,2,5,10,11,13,14,15,24,25,27,31,37,39,40,40,41,41,47,47,51,51,55,55,63,63,68,68,72,72
82,Mixed team,2,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
83,Monaco,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,10,10,11,13,13,14,14,14,14,15,15,19,19,24,24,26,26,30,30
85,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
86,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,9,9,11,11,16,16,19,19,21,21,22,22,23,23,24,24
87,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
88,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5
89,Netherlands,0,6,6,8,11,22,33,56,64,81,97,101,101,103,109,117,124,129,132,145,153,162,166,185,196,221,229,251,260,276,284,304,328,347,367,403,420
90,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,New Zealand,0,0,0,0,0,1,2,3,4,5,5,8,10,13,18,21,24,28,28,39,52,57,57,63,63,67,67,72,72,81,81,94,94,112,114,134,137
92,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
93,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,4,8,8,14,14,17,17,19,19,24,24,24,24,25,25,27,27
94,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2
95,Norway,0,5,5,13,23,55,68,77,87,97,105,115,118,121,136,144,152,156,166,172,177,190,216,223,248,258,283,289,308,317,340,344,370,374,413,421,458
96,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,6,7,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
97,Panama,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
98,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
99,People's Republic of China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,60,88,91,141,149,207,215,278,289,389,400,491,500,570,579,667,682
100,Peru,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
101,Philippines,0,0,0,0,0,0,0,1,4,5,5,5,5,5,6,6,6,6,6,6,7,8,8,9,9,9,9,9,9,9,9,9,9,10,10,14,14
102,Poland,0,0,0,0,0,0,2,9,18,27,29,33,38,49,72,90,101,127,159,159,175,194,194,211,211,225,227,237,239,250,256,267,273,284,286,300,301
103,Portugal,0,0,0,0,0,0,1,2,2,3,5,6,6,7,7,7,7,9,9,12,13,13,13,15,15,17,17,20,20,22,22,23,23,24,24,28,28
104,Puerto Rico,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,4,4,5,5,6,6,6,6,6,6,6,6,8,8,9,9,10,10
105,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,4,4,5,5,8,8
106,ROC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,88,120
107,Republic of Korea,0,0,0,0,0,0,0,0,0,0,2,4,6,6,9,11,12,18,18,37,70,86,92,119,125,153,157,187,198,230,244,274,282,303,320,340,349
108,Republic of Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,5,5,5,5,5,5,6,6
109,Romania,0,0,0,0,0,0,1,1,1,2,2,6,19,29,41,49,65,92,117,170,194,212,212,232,232,258,258,277,277,286,286,293,293,297,297,301,301
110,Russian Federation,0,0,0,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,31,94,112,201,214,304,326,386,401,467,496,552,552,552,552
111,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
112,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
113,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,15,15,24,24
115,Serbia and Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,7,9,9,9,9,9,9,9,9,9,9
116,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,5,5,5,5
117,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,8,14,15,21,24,28,29,33,36,40,42
118,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,7,9,10,14,14,19,22,26,34,38,40,45,52
119,South Africa,0,0,0,2,8,18,21,24,29,30,36,46,50,53,53,53,53,53,53,53,53,55,55,60,60,65,65,71,71,72,72,78,78,88,88,91,91
120,Soviet Union,0,0,0,0,0,0,0,0,0,0,0,71,128,190,250,302,359,435,543,568,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648
