Year,Sport
1924,17
1928,16
1932,24
1936,26
1948,23
1952,23
1956,24
1960,27
1964,38
1968,36
1972,35
1976,37
1980,38
1984,43
1988,68
1992,65
1994,61
1998,68
2002,76
2006,82
2010,86
2014,98
2018,102
2022,109
