,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita,Y_Score/Population,Y_Score/GDP,Population to Gold Medal,Population to Silver Medal,Population to Bronze Medal,Population to Weight Score,GDP to Gold Medal,GDP to Silver Medal,GDP to Bronze Medal,GDP to Weight Score
28,United Kingdom,GBR,1960,Summer,52400000.0,73233967677.2,1397.594803,2.0,6.0,12.0,20.0,2.0,6.0,12.0,20.0,3.816793893129771e-07,3.816793893129771e-07,2.7309731582693716e-10,2.7309731582693716e-10,30.0,30.0,1746666.6666666667,1746666.6666666667,5.725190839694656e-07,4.096459737404058e-10,26200000.0,8733333.333333334,4366666.666666667,1746666.6666666667,36616983838.6,12205661279.533333,6102830639.766666,2441132255.9066668
29,United States,USA,1960,Summer,180671000.0,543299999931.59503,3007.123445,34.0,21.0,16.0,71.0,34.0,21.0,16.0,71.0,3.92979504181634e-07,3.92979504181634e-07,1.3068286399583906e-10,1.3068286399583906e-10,160.0,160.0,1129193.75,1129193.75,8.855876150572034e-07,2.944965949202007e-10,5313852.94117647,8603380.952380951,11291937.5,1129193.75,15979411762.693972,25871428568.171192,33956249995.72469,3395624999.5724688
30,United States,USA,1960,Winter,180671000.0,543299999931.59503,3007.123445,3.0,4.0,3.0,10.0,37.0,25.0,19.0,81.0,5.5349225941075214e-08,4.4832873012270923e-07,1.8406037182512543e-11,1.490889011783516e-10,180.0,20.0,9033550.0,1003727.7777777778,1.1069845188215045e-07,3.6812074365025087e-11,60223666.66666666,45167750.0,60223666.66666666,9033550.0,181099999977.19836,135824999982.89876,181099999977.19836,27164999996.57975
31,"Venezuela, RB",VEN,1960,Summer,8156937.0,7779090909.128915,953.6779442,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.2259503781873026e-07,1.2259503781873026e-07,1.2854972537041319e-10,1.2854972537041319e-10,1.0,1.0,8156937.0,8156937.0,1.2259503781873026e-07,1.2854972537041319e-10,0.0,0.0,8156937.0,8156937.0,0.0,0.0,7779090909.128915,7779090909.128915
32,Argentina,ARG,1964,Summer,21708487.0,25605249377.87973,1179.504098,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,4.606493303747976e-08,1.381947991124393e-07,3.905449172714935e-11,1.1716347518144805e-10,5.0,2.0,10854243.5,4341697.4,9.212986607495953e-08,7.81089834542987e-11,0.0,21708487.0,0.0,10854243.5,0.0,25605249377.87973,0.0,12802624688.939863
33,Australia,AUS,1964,Summer,11167000.0,23799977595.719,2131.277657,6.0,2.0,10.0,18.0,14.0,10.0,16.0,40.0,1.6118921823229156e-06,3.5819826273842573e-06,7.5630323295925e-10,1.6806738510205555e-09,78.0,32.0,348968.75,143166.66666666666,2.8655861019074057e-06,1.3445390808164443e-09,1861166.6666666667,5583500.0,1116700.0,348968.75,3966662932.6198335,11899988797.8595,2379997759.5719004,743749299.8662188
34,Austria,AUT,1964,Winter,7223801.0,9169983886.487984,1269.412583,4.0,5.0,3.0,12.0,6.0,8.0,6.0,20.0,1.661175328611627e-06,2.768625547686045e-06,1.308617348573759e-09,2.1810289142895984e-09,40.0,25.0,288952.04,180595.025,3.4607819346075563e-06,2.726286142861998e-09,1805950.25,1444760.2,2407933.6666666665,288952.04,2292495971.621996,1833996777.2975967,3056661295.4959946,366799355.4595193
35,Belgium,BEL,1964,Summer,9378113.0,15960106684.957188,1701.846276,2.0,0.0,1.0,3.0,2.0,2.0,3.0,7.0,3.1989377820463457e-07,7.46418815810814e-07,1.8796866833149535e-10,4.385935594401559e-10,13.0,7.0,1339730.4285714286,721393.3076923077,7.46418815810814e-07,4.3859355944015586e-10,4689056.5,0.0,9378113.0,1339730.4285714286,7980053342.478594,0.0,15960106684.957188,2280015240.708169
36,Brazil,BRA,1964,Summer,82262794.0,20963733692.05532,254.838581,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.2156163818116853e-08,3.646849145435055e-08,4.770142641045726e-11,1.4310427923137175e-10,3.0,1.0,82262794.0,27420931.33333333,1.2156163818116853e-08,4.7701426410457247e-11,0.0,0.0,82262794.0,82262794.0,0.0,0.0,20963733692.05532,20963733692.05532
37,Canada,CAN,1964,Summer,19325000.0,49377522896.450005,2555.111146,1.0,2.0,1.0,4.0,3.0,4.0,2.0,9.0,2.069857697283312e-07,4.6571798188874514e-07,8.100851896496371e-11,1.8226916767116835e-10,19.0,8.0,2415625.0,1017105.2631578948,4.139715394566624e-07,1.6201703792992742e-10,19325000.0,9662500.0,19325000.0,2415625.0,49377522896.450005,24688761448.225,49377522896.450005,6172190362.056251
38,Canada,CAN,1964,Winter,19325000.0,49377522896.450005,2555.111146,1.0,1.0,1.0,3.0,4.0,5.0,3.0,12.0,1.5523932729624837e-07,6.209573091849935e-07,6.075638922372278e-11,2.43025556894891e-10,25.0,6.0,3220833.333333333,773000.0,3.104786545924968e-07,1.2151277844744556e-10,19325000.0,19325000.0,19325000.0,3220833.333333333,49377522896.450005,49377522896.450005,49377522896.450005,8229587149.408334
39,Finland,FIN,1964,Summer,4548543.0,7766655084.662334,1707.503938,3.0,0.0,2.0,5.0,6.0,4.0,8.0,18.0,1.0992531014876632e-06,3.957311165355588e-06,6.437777840648604e-10,2.3176000226334983e-09,34.0,11.0,413503.9090909091,133780.67647058822,2.418356823272859e-06,1.4163111249426931e-09,1516181.0,0.0,2274271.5,413503.9090909091,2588885028.220778,0.0,3883327542.331167,706059553.1511213
40,Finland,FIN,1964,Winter,4548543.0,7766655084.662334,1707.503938,3.0,4.0,3.0,10.0,9.0,8.0,11.0,28.0,2.1985062029753263e-06,6.155817368330914e-06,1.287555568129721e-09,3.605155590763219e-09,54.0,20.0,227427.15,84232.27777777778,4.397012405950653e-06,2.575111136259442e-09,1516181.0,1137135.75,1516181.0,227427.15,2588885028.220778,1941663771.165584,2588885028.220778,388332754.2331168
41,France,FRA,1964,Summer,48733997.0,94007851070.0698,1928.999402,1.0,8.0,6.0,15.0,2.0,10.0,11.0,23.0,3.0779334598801734e-07,4.719497971816266e-07,1.5956114121595636e-10,2.446604165311331e-10,37.0,25.0,1949359.88,1317135.054054054,5.12988909980029e-07,2.6593523535992726e-10,48733997.0,6091749.625,8122332.833333333,1949359.88,94007851070.0698,11750981383.758724,15667975178.344963,3760314042.802792
42,France,FRA,1964,Winter,48733997.0,94007851070.0698,1928.999402,3.0,4.0,0.0,7.0,5.0,14.0,11.0,30.0,1.436368947944081e-07,6.155866919760347e-07,7.446186590077963e-11,3.191222824319126e-10,54.0,17.0,2866705.705882353,902481.425925926,3.488324587864197e-07,1.808359600447505e-10,16244665.666666666,12183499.25,0.0,2866705.705882353,31335950356.68993,23501962767.51745,0.0,5529873592.357047
43,Ghana,GHA,1964,Summer,7640196.0,1731092436.965532,226.576967,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.308866945298262e-07,2.617733890596524e-07,5.776699029157105e-10,1.1553398058314215e-09,3.0,1.0,7640196.0,2546732.0,1.308866945298262e-07,5.776699029157106e-10,0.0,0.0,7640196.0,7640196.0,0.0,0.0,1731092436.965532,1731092436.965532
44,India,IND,1964,Summer,489059309.0,56480289962.1666,115.4876084,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0447417758895987e-09,4.089483551779197e-09,1.7705291539222823e-11,3.5410583078445645e-11,5.0,3.0,163019769.66666666,97811861.8,6.1342253276687965e-09,5.311587461766847e-11,489059309.0,0.0,0.0,163019769.66666666,56480289962.1666,0.0,0.0,18826763320.7222
45,Ireland,IRL,1964,Summer,2866550.0,2766608945.9406853,965.1354227,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.488514067432977e-07,3.488514067432977e-07,3.614533241017864e-10,3.614533241017864e-10,1.0,1.0,2866550.0,2866550.0,3.488514067432977e-07,3.614533241017864e-10,0.0,0.0,2866550.0,2866550.0,0.0,0.0,2766608945.9406853,2766608945.9406853
46,Italy,ITA,1964,Summer,51675350.0,63175416995.089005,1222.54454,10.0,10.0,7.0,27.0,23.0,20.0,21.0,64.0,5.22492832656189e-07,1.2385015292591148e-06,4.2738142911029564e-10,1.0130522764095894e-09,130.0,57.0,906585.0877192982,397502.6923076923,1.1030404244963992e-06,9.022496836772907e-10,5167535.0,5167535.0,7382192.857142857,906585.0877192982,6317541699.508901,6317541699.508901,9025059570.727,1108340649.0366492
47,Italy,ITA,1964,Winter,51675350.0,63175416995.089005,1222.54454,0.0,1.0,3.0,4.0,23.0,21.0,24.0,68.0,7.74063455786947e-08,1.3159078748378096e-06,6.331576727559935e-11,1.0763680436851891e-09,135.0,5.0,10335070.0,382780.3703703704,9.675793197336837e-08,7.914470909449919e-11,0.0,51675350.0,17225116.666666668,10335070.0,0.0,63175416995.089005,21058472331.69633,12635083399.0178
